Subject System,Clone Detector,MaxV,MaxV-1,MaxV-2,MaxV-3,MaxV-4
brlcad,conqat,24083,42040,42040,42040,42040
brlcad,deckard_2_0,17911,30834,30834,30834,30834
brlcad,iclones,18514,34757,34757,34757,34757
brlcad,nicad5,12836,23245,23245,23245,23262
brlcad,simcad,29275,29353,29382,29540,29309
brlcad,simian,18898,35375,35375,35375,35381
carol,conqat,5531,5531,5531,5601,5601
carol,deckard_2_0,6339,6348,6348,6622,6622
carol,iclones,3529,3529,3529,3875,3875
carol,nicad5,4892,4892,4892,4964,4964
carol,simcad,6507,6600,6561,6687,6628
carol,simian,5079,5079,5079,5533,5533
ctags,conqat,4211,4211,4211,4211,3915
ctags,deckard_2_0,3177,3120,3103,3131,3131
ctags,iclones,2144,2144,2144,2144,2060
ctags,nicad5,3841,3841,3841,3841,3841
ctags,simcad,911,905,911,908,908
ctags,simian,2625,2625,2625,2406,2416
freecol,conqat,12114,12091,12103,12103,12118
freecol,deckard_2_0,6621,6618,6618,6618,6618
freecol,iclones,5711,5711,5711,5711,5711
freecol,nicad5,8094,8105,8139,8139,8139
freecol,simcad,14844,14468,14191,14393,14189
freecol,simian,6558,6558,6558,6558,6558
jabref,conqat,9909,9918,9918,9907,9907
jabref,deckard_2_0,22622,22694,22694,22670,22670
jabref,iclones,4494,4494,4494,4493,4493
jabref,nicad5,4724,4724,4724,4724,4724
jabref,simcad,8532,8717,8542,8855,8725
jabref,simian,4386,4386,4386,4386,4386
jedit,conqat,177083,177105,177144,177165,177274
jedit,deckard_2_0,128433,128573,128723,128673,129763
jedit,iclones,214858,215042,215167,215207,215346
jedit,nicad5,182573,182544,182579,182558,182585
jedit,simcad,151444,151481,151926,151907,151882
jedit,simian,315912,316025,316121,316269,316510
