change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian,"conqat, deckard","conqat, iclones","conqat, nicad5","conqat, simcad","conqat, simian","deckard, iclones","deckard, nicad5","deckard, simcad","deckard, simian","iclones, nicad5","iclones, simcad","iclones, simian","nicad5, simcad","nicad5, simian","simcad, simian","conqat, deckard, iclones","conqat, deckard, nicad5","conqat, deckard, simcad","conqat, deckard, simian","conqat, iclones, nicad5","conqat, iclones, simcad","conqat, iclones, simian","conqat, nicad5, simcad","conqat, nicad5, simian","conqat, simcad, simian","deckard, iclones, nicad5","deckard, iclones, simcad","deckard, iclones, simian","deckard, nicad5, simcad","deckard, nicad5, simian","deckard, simcad, simian","iclones, nicad5, simcad","iclones, nicad5, simian","iclones, simcad, simian","nicad5, simcad, simian","conqat, deckard, iclones, nicad5","conqat, deckard, iclones, simcad","conqat, deckard, iclones, simian","conqat, deckard, nicad5, simcad","conqat, deckard, nicad5, simian","conqat, deckard, simcad, simian","conqat, iclones, nicad5, simcad","conqat, iclones, nicad5, simian","conqat, iclones, simcad, simian","conqat, nicad5, simcad, simian","deckard, iclones, nicad5, simcad","deckard, iclones, nicad5, simian","deckard, iclones, simcad, simian","deckard, nicad5, simcad, simian","iclones, nicad5, simcad, simian"
42250,2,0.5,1,0,0,0,0,1,0.5,0.5,0.5,0.5,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,0
42251,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
42252,2,0.5,1,0,0,0,0,1,0.5,0.5,0.5,0.5,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,0
42253,3,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
42312,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
42313,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
42318,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42323,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42338,3,0.666666667,0.333333333,1,0,0,0.666666667,0.666666667,1,0.666666667,0.666666667,0.666666667,1,0.333333333,0.333333333,0.666666667,1,1,1,0,0.666666667,0.666666667,1,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,0.666666667,0.666666667,1,1,1,0.333333333,0.666666667,0.666666667,1,1,1,0.666666667,1,1,1,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,1,1,1,0.666666667,1
42339,6,0.666666667,0,1,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,1,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42340,6,0,0,1,0.666666667,0.666666667,0,0,1,0.666666667,0.666666667,0,1,0.666666667,0.666666667,0,1,1,1,0.666666667,0.666666667,0.666666667,1,0.666666667,0.666666667,0,1,1,1,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,1,1,1,0.666666667,0.666666667,0.666666667,1,1,1,0.666666667,1,1,1,0.666666667,1
