"change_id","conqat","deckard","iclones","nicad5","simcad","simian"
"42260",,"42262",,,,
"42262",,"42260",,,,
"42266",,"42271, 42273, 42293",,,,
"42267",,"42271, 42273, 42293",,,,
"42268",,"42271, 42273, 42293",,,,
"42271",,"42266, 42267, 42268, 42273, 42290, 42293, 42295",,,,
"42273",,"42266, 42267, 42268, 42271, 42293",,,,
"42290",,"42271",,,,
"42293",,"42266, 42267, 42268, 42271, 42273, 42295",,,,
"42295",,"42271, 42293",,,,
"42331",,"42332, 42336, 42337",,,,
"42332",,"42336, 42337",,,,
"42336",,"42331, 42332, 42337",,,,
"42337",,"42331, 42332, 42336",,,,
"42349",,"42351, 42352, 42353",,,,
"42351",,"42349",,,,
"42352",,"42349",,,,
"42353",,"42349",,,,
"42359","42472, 42479, 42496, 42498, 42504",,,,,
"42376",,"42422, 42447, 42455, 42457, 42491, 42492, 42497, 42499, 42501, 42505",,,,
"42380",,"42447, 42455",,,,
"42384","42385","42385",,"42385",,
"42385","42384","42384",,"42384",,
"42388",,,,"42389",,
"42389",,,,"42388",,
"42398",,"42490",,,,
"42408",,"42457, 42459",,,,
"42422",,"42376",,,,
"42447",,"42376, 42380, 42455, 42491, 42497, 42499",,,,
"42448",,"42447",,,,
"42449",,"42447",,,,
"42455",,"42376, 42380, 42447, 42499",,,,
"42457",,"42376, 42408, 42459, 42490, 42491, 42492, 42496, 42497, 42498, 42503, 42504",,,,
"42459",,"42408, 42457, 42490, 42491",,,,
"42472","42359, 42479",,,,,
"42479","42359, 42472, 42496, 42498, 42504",,,,,
"42483",,"42500",,,,
"42490",,"42398, 42457, 42459, 42491, 42492, 42519, 42520",,,,
"42491",,"42376, 42447, 42457, 42459, 42490, 42497, 42499, 42505",,,,
"42492",,"42376, 42457, 42490, 42497, 42499, 42505",,,,
"42496","42359, 42479, 42498, 42504","42457",,,,
"42497",,"42376, 42447, 42457, 42491, 42492, 42499, 42501, 42505",,,,
"42498","42359, 42479, 42496, 42504","42457, 42504","42504",,,
"42499",,"42376, 42447, 42455, 42491, 42492, 42497, 42501, 42505",,,,
"42500",,"42483",,,,
"42501",,"42376, 42497, 42499",,,,
"42503",,"42457",,,,
"42504","42359, 42479, 42496, 42498","42457, 42498","42498",,,
"42505",,"42376, 42491, 42492, 42497, 42499",,,,
"42519",,"42490",,,,
"42520",,"42490",,,,
"42541",,"42542",,,,
"42542",,"42553, 42554, 42555, 42578, 42579",,,,
"42543",,"42553, 42554, 42555",,,,
"42544",,"42553, 42554, 42555",,,,
"42553",,"42542, 42543, 42544",,,,
"42554",,"42542, 42543, 42544",,,,
"42555",,"42542, 42543, 42544",,,,
"42558",,,,,"42559",
"42560",,,,,"42559",
"42561",,,,,"42559",
"42578",,"42542, 42579",,,,
"42579",,"42542, 42578",,,,
"42597",,"42606, 42607, 42609, 42739",,,,
"42602",,"42738",,,,
"42603",,"42616, 42617, 42681, 42682",,,,
"42604",,"42616, 42617, 42681, 42682",,,,
"42605",,"42630, 42687, 42747",,,,
"42606",,"42597, 42608, 42609",,,,
"42607",,"42597, 42608, 42609",,,,
"42608",,"42606, 42607, 42609",,,,
"42609",,"42597, 42606, 42607",,,,
"42616",,"42603, 42604",,,,
"42617",,"42603, 42604",,,,
"42624",,"42633, 42643, 42644, 42674, 42757",,,,
