"change_id","conqat_luc","deckard_2_0_luc","iclones_luc","nicad5_luc","simcad_luc","simian_luc","conqat_ltc","deckard_2_0_ltc","iclones_ltc","nicad5_ltc","simcad_ltc","simian_ltc"
"42250","38","274778, 274779",,,,,"38","274750, 274751, 274744, 274752, 274745, 274753, 274746, 274754, 274747, 274757, 274758, 274755, 274748, 274749, 274756, 274778, 274779, 274782, 274780, 274783",,,,
"42251",,"274775",,,,,,"274775",,,,
"42252","37","274777, 274779",,,,,"37","274776, 274777, 274779, 274780",,,,
"42253",,"274777, 274774, 274778",,,,,,"274776, 274777, 274774, 274778, 274780",,,,
"42312",,,,,"429153",,,,,,"429153",
"42313",,,,,"429152",,,,,,"429152",
"42318",,,"68542","484554","429249",,,,"68542","484554","429249",
"42323",,,"68541","484555","429248",,,,"68541","484555","429248",
"42338","433","276130","68573",,,"1021195","433","276118, 276119, 276128, 276120, 276130, 276122, 276123, 276131, 276124","68573",,,"1021195"
"42339","433, 397, 398",,"68573, 68579, 68580","484597, 484598","429393, 429395","1021195, 1021192, 1021191","433, 397, 398",,"68573, 68579, 68580","484597, 484598","429393, 429395","1021195, 1021192, 1021191"
"42340",,,"68573, 68579, 68580","484597, 484598","429393, 429395",,,,"68573, 68579, 68580","484597, 484598","429393, 429395",
"42346",,"276106",,,,,,"276097, 276088, 276098, 276099, 276100, 276101, 276102, 276103, 276104, 276106",,,,
"42355","400","276173, 276174",,"484601","429412",,"400","276173, 276174",,"484601","429412",
"42356","400",,,"484601","429412",,"400",,,"484601","429412",
"42357","399","276172, 276174",,"484600","429411",,"399","276172, 276174",,"484600","429411",
"42358","399","276172, 276174",,"484600","429411",,"399","276172, 276174",,"484600","429411",
"42384","432","276121","68572",,,"1021194","432","276121, 276118, 276119, 276128, 276120, 276122, 276123, 276131, 276129","68572",,,"1021194"
"42385","432, 396, 398",,"68572, 68578, 68580","484599, 484598","429394, 429395","1021194, 1021193, 1021191","432, 396, 398",,"68572, 68578, 68580","484599, 484598","429394, 429395","1021194, 1021193, 1021191"
"42386",,,"68572, 68578, 68580","484599, 484598","429394, 429395",,,,"68572, 68578, 68580","484599, 484598","429394, 429395",
"42395",,"276179",,,,,,"276177, 276179",,,,
"42396",,"276179",,,,,,"276177, 276179",,,,
"42397",,"276179",,,,,,"276177, 276179",,,,
"42430",,"276178",,,,,,"276079, 276080, 276178",,,"429422, 429424",
"42431",,"276178",,,,,,"276079, 276086, 276080, 276178",,,,
"42435",,"276105, 276172, 276173",,,,,,"276097, 276098, 276099, 276100, 276101, 276102, 276103, 276104, 276105, 276172, 276173",,,,
"42436",,"276105, 276172, 276173",,,,,,"276097, 276098, 276099, 276100, 276101, 276102, 276103, 276104, 276105, 276172, 276173",,,,
"42442","396, 397",,"68578, 68579",,,"1021193, 1021192","396, 397",,"68578, 68579",,,"1021193, 1021192"
