change_id,conqat_luc,deckard_luc,iclones_luc,nicad5_luc,simcad_luc,simian_luc,conqat_ltc,deckard_ltc,iclones_ltc,nicad5_ltc,simcad_ltc,simian_ltc
38726,,176330,,280233,,,,"176334, 176344, 176329, 176337, 176328, 176348, 176339, 176335, 176345, 176340, 176336, 176346, 176331, 176332, 176338, 176342, 176330",,"280226, 280224, 280234, 280232, 280229, 280225, 280227, 280230, 280228, 280223, 280233",,
38727,,"176376, 176333",,280231,,,,"176334, 176344, 176329, 176337, 176328, 176348, 176339, 176335, 176345, 176340, 176336, 176346, 176331, 176332, 176338, 176376, 176333, 176342",,"280226, 280224, 280234, 280232, 280229, 280225, 280227, 280230, 280228, 280223, 280231",,
38767,,,,280751,,,,,,280751,,
38768,,,,280750,,,,,,280750,,
38779,,177817,,,,,,177817,,,,
38780,,177817,,,,,,177817,,,,
38781,,177817,,,,,,"177796, 177817",,,,
38782,,177817,,,,,,"177796, 177817",,,,
38786,,177816,,,,,,177816,,,,
38787,,177816,,,,,,177816,,,,
38788,,177816,,,,,,177816,,,,
38794,,"177618, 177617, 177619, 177620",,,,,,"177618, 177617, 177619, 177620",,281204,,
38795,,"177618, 177617, 177619, 177620",,,,,,"177629, 177618, 177617, 177619, 177620",,,,
38796,,"177618, 177617, 177619, 177620",,,,,,"177629, 177618, 177617, 177619, 177620",,,,
38797,,"177618, 177617, 177619, 177620",,,,,,"177629, 177618, 177617, 177619, 177620",,,,
38798,,"177617, 177619, 177620",,,,,,"177629, 177617, 177619, 177620",,281206,,
38799,,"177616, 177617, 177619, 177620",,,,,,"177629, 177616, 177617, 177619, 177620",,,,
38813,,"177616, 177618, 177621, 177619, 177613, 177610, 177620",,,,,,"177609, 177607, 177616, 177618, 177621, 177619, 177613, 177610, 177620",,,,
38814,,"177611, 177612, 177613, 177610",,,,,,"177609, 177607, 177611, 177612, 177613, 177610",,281208,,
38815,,177690,,,,,,177690,,281208,,
38816,,177587,,281187,,,,"177599, 177588, 177585, 177602, 177587, 177584, 177589",,"281208, 281185, 281183, 281186, 281187",,
38820,,177815,,,,,,177815,,,,
38823,,177692,,,,,,177692,,,,
38824,,177692,,,,,,177692,,,,
38826,,177691,,,,,,177691,,"281210, 281211",,
38827,,177691,,,,,,177691,,,,
38828,,177691,,,,,,177691,,,,
38830,,"177586, 177658",,,,,,"177588, 177585, 177586, 177658, 177584, 177589",,,,
38831,,"177616, 177618, 177617, 177586, 177620, 177658",,,,,,"177588, 177585, 177616, 177618, 177617, 177586, 177620, 177658, 177584, 177589",,,,
38832,,"177616, 177618, 177617, 177586, 177620, 177658",,,,,,"177588, 177585, 177616, 177618, 177617, 177586, 177620, 177658, 177584, 177589",,,,
38833,,"177616, 177618, 177611, 177612, 177608, 177689, 177610, 177620",,,,,,"177669, 177670, 177609, 177607, 177616, 177618, 177611, 177612, 177608, 177689, 177610, 177620",,,,
38834,,"177616, 177618, 177611, 177612, 177608, 177689, 177620, 177628",,,,,,"177623, 177669, 177670, 177624, 177626, 177609, 177627, 177607, 177616, 177618, 177611, 177612, 177608, 177689, 177620, 177628",,,,
