change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
42250,14,2,0.14
42251,14,1,0.07
42252,14,2,0.14
42253,14,3,0.21
42312,19,1,0.05
42313,19,1,0.05
42318,9,1,0.11
42323,9,1,0.11
42338,136,3,0.02
42339,136,6,0.04
42340,136,6,0.04
42346,136,2,0.01
42355,136,4,0.03
42356,136,2,0.01
42357,136,4,0.03
42358,136,4,0.03
42384,136,3,0.02
42385,136,6,0.04
42386,136,6,0.04
42395,136,2,0.01
42396,136,2,0.01
42397,136,2,0.01
42430,136,3,0.02
42431,136,3,0.02
42435,136,4,0.03
42436,136,4,0.03
42442,136,4,0.03
42443,136,4,0.03
42444,136,4,0.03
42475,48,1,0.02
42479,48,1,0.02
42492,48,2,0.04
42493,48,2,0.04
42494,48,2,0.04
42495,48,3,0.06
42496,48,3,0.06
42525,27,1,0.04
42526,27,1,0.04
42553,9,1,0.11
42554,9,1,0.11
42556,25,12,0.48
42557,25,12,0.48
42558,25,12,0.48
42559,25,12,0.48
42560,25,12,0.48
42561,25,12,0.48
42562,25,12,0.48
42563,25,12,0.48
42564,25,12,0.48
42565,25,12,0.48
42566,25,12,0.48
42567,25,12,0.48
42569,25,12,0.48
42570,25,13,0.52
42571,25,13,0.52
42572,25,13,0.52
42573,25,15,0.60
42574,25,12,0.48
42575,25,12,0.48
42576,25,12,0.48
42577,25,12,0.48
42578,25,12,0.48
42579,25,12,0.48
42580,25,12,0.48
42644,62,1,0.02
42658,62,1,0.02
42659,62,1,0.02
42669,62,2,0.03
42678,62,1,0.02
42679,62,2,0.03
42681,62,1,0.02
42699,62,2,0.03
42707,30,1,0.03
42714,30,1,0.03
42749,57,2,0.04
42750,57,1,0.02
42751,57,1,0.02
42757,57,2,0.04
42758,57,2,0.04
42759,57,3,0.05
42760,57,2,0.04
42765,57,3,0.05
42769,57,1,0.02
42780,57,1,0.02
42785,57,1,0.02
42786,57,1,0.02
42787,57,1,0.02
42788,57,2,0.04
42792,57,3,0.05
42811,5,2,0.40
42812,5,2,0.40
42814,5,2,0.40
42815,5,2,0.40
42829,22,2,0.09
42830,22,2,0.09
42831,22,2,0.09
42832,22,2,0.09
42862,12,1,0.08
42891,79,3,0.04
42892,79,3,0.04
42893,79,3,0.04
42894,79,3,0.04
42895,79,3,0.04
42896,79,3,0.04
