change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
52027,14,1,0.07
52065,24,2,0.08
52066,24,2,0.08
52069,24,2,0.08
52070,24,2,0.08
52105,53,10,0.19
52107,53,10,0.19
52108,53,10,0.19
52109,53,10,0.19
52111,53,10,0.19
52112,53,10,0.19
52113,53,10,0.19
52114,53,10,0.19
52123,53,10,0.19
52124,53,10,0.19
52145,53,10,0.19
52149,53,2,0.04
52150,53,2,0.04
52151,53,2,0.04
52152,53,1,0.02
52153,53,1,0.02
52162,27,11,0.41
52163,27,11,0.41
52164,27,10,0.37
52165,27,10,0.37
52166,27,10,0.37
52167,27,10,0.37
52168,27,10,0.37
52169,27,10,0.37
52170,27,10,0.37
52171,27,10,0.37
52172,27,11,0.41
52173,27,11,0.41
52174,27,11,0.41
52176,27,10,0.37
52177,27,10,0.37
52178,27,11,0.41
52179,27,11,0.41
52180,27,11,0.41
52181,27,11,0.41
52182,27,11,0.41
52183,27,11,0.41
52186,27,11,0.41
52187,27,1,0.04
52188,27,10,0.37
52189,27,1,0.04
52194,16,3,0.19
52195,16,8,0.50
52196,16,9,0.56
52197,16,8,0.50
52198,16,8,0.50
52199,16,5,0.31
52200,16,8,0.50
52201,16,5,0.31
52202,16,7,0.44
52203,16,7,0.44
52232,18,3,0.17
52233,18,3,0.17
52234,18,3,0.17
52235,18,3,0.17
52240,18,4,0.22
52241,18,4,0.22
52242,18,4,0.22
52248,96,4,0.04
52251,96,30,0.31
52252,96,30,0.31
52253,96,30,0.31
52254,96,30,0.31
52255,96,20,0.21
52256,96,20,0.21
52257,96,20,0.21
52258,96,20,0.21
52259,96,20,0.21
52260,96,20,0.21
52261,96,20,0.21
52262,96,20,0.21
52263,96,20,0.21
52264,96,20,0.21
52265,96,20,0.21
52266,96,20,0.21
52267,96,20,0.21
52268,96,20,0.21
52269,96,20,0.21
52270,96,20,0.21
52271,96,30,0.31
52272,96,30,0.31
52273,96,30,0.31
52274,96,30,0.31
52275,96,30,0.31
52276,96,30,0.31
52277,96,30,0.31
52278,96,30,0.31
52279,96,20,0.21
52280,96,20,0.21
52281,96,20,0.21
52282,96,20,0.21
52283,96,30,0.31
52284,96,30,0.31
52285,96,30,0.31
52286,96,30,0.31
52287,96,30,0.31
52288,96,30,0.31
52289,96,30,0.31
52290,96,30,0.31
52291,96,30,0.31
52292,96,30,0.31
52293,96,30,0.31
52294,96,30,0.31
52296,96,30,0.31
52297,96,30,0.31
52300,96,30,0.31
52301,96,30,0.31
52303,96,1,0.01
52304,96,20,0.21
52305,96,20,0.21
52306,96,30,0.31
52307,96,32,0.33
52308,96,4,0.04
52311,96,4,0.04
52314,96,4,0.04
52315,96,4,0.04
52316,96,4,0.04
52317,96,4,0.04
52318,96,4,0.04
52319,96,4,0.04
52320,96,2,0.02
52321,96,2,0.02
52322,96,32,0.33
52323,96,32,0.33
52325,96,1,0.01
52326,96,4,0.04
52335,96,3,0.03
52336,96,3,0.03
52337,96,3,0.03
52338,96,3,0.03
52339,96,3,0.03
52340,96,3,0.03
52342,96,4,0.04
52927,22,5,0.23
52928,22,3,0.14
52929,22,3,0.14
52930,22,1,0.05
52931,22,3,0.14
52932,22,3,0.14
52933,22,3,0.14
52934,22,1,0.05
52943,22,2,0.09
52944,22,2,0.09
52947,22,2,0.09
52948,22,2,0.09
52950,15,1,0.07
52951,15,1,0.07
52952,15,1,0.07
52953,15,1,0.07
52961,15,2,0.13
52962,15,2,0.13
52964,15,2,0.13
52965,15,2,0.13
52967,146,12,0.08
52968,146,11,0.08
52970,146,1,0.01
52971,146,7,0.05
52972,146,5,0.03
52973,146,5,0.03
52974,146,5,0.03
52975,146,2,0.01
52976,146,2,0.01
52977,146,2,0.01
52978,146,3,0.02
52979,146,4,0.03
52980,146,6,0.04
52981,146,6,0.04
52982,146,6,0.04
52983,146,2,0.01
52984,146,3,0.02
52985,146,2,0.01
52986,146,2,0.01
52987,146,2,0.01
52989,146,7,0.05
52990,146,8,0.05
52994,146,2,0.01
52995,146,5,0.03
52996,146,3,0.02
52997,146,4,0.03
52999,146,1,0.01
53000,146,1,0.01
53003,146,9,0.06
53004,146,9,0.06
53007,146,1,0.01
53008,146,4,0.03
53009,146,4,0.03
53010,146,4,0.03
53011,146,1,0.01
53012,146,4,0.03
53013,146,4,0.03
53016,146,1,0.01
53017,146,2,0.01
53018,146,5,0.03
53019,146,3,0.02
53020,146,4,0.03
53029,146,3,0.02
53039,146,2,0.01
53044,146,3,0.02
53054,146,8,0.05
53055,146,12,0.08
53064,146,9,0.06
53065,146,6,0.04
53066,146,6,0.04
53068,146,10,0.07
53079,146,6,0.04
53091,146,1,0.01
53099,146,3,0.02
53108,146,8,0.05
53109,146,12,0.08
53144,26,1,0.04
53145,26,1,0.04
53146,26,1,0.04
53147,26,1,0.04
53151,26,1,0.04
53152,26,1,0.04
53154,26,2,0.08
53160,60,1,0.02
53168,60,9,0.15
53175,60,2,0.03
53176,60,6,0.10
53177,60,6,0.10
53180,60,3,0.05
53181,60,6,0.10
53185,60,1,0.02
53189,60,1,0.02
53190,60,1,0.02
53192,60,4,0.07
53202,60,1,0.02
53206,60,1,0.02
53212,60,1,0.02
53213,60,1,0.02
53215,60,2,0.03
53216,60,1,0.02
53217,60,9,0.15
53218,60,6,0.10
53224,25,3,0.12
53225,25,1,0.04
53226,25,1,0.04
53227,25,1,0.04
53233,25,5,0.20
53234,25,1,0.04
53238,25,4,0.16
53253,37,8,0.22
53262,37,8,0.22
53269,37,1,0.03
53270,37,1,0.03
53272,37,1,0.03
53287,37,1,0.03
53293,17,3,0.18
53295,17,3,0.18
53297,17,2,0.12
53298,17,2,0.12
53299,17,1,0.06
53300,17,1,0.06
53303,17,1,0.06
53305,17,1,0.06
53306,17,1,0.06
53312,170,2,0.01
53313,170,5,0.03
53314,170,22,0.13
53315,170,36,0.21
53316,170,35,0.21
53317,170,35,0.21
53318,170,16,0.09
53320,170,13,0.08
53321,170,16,0.09
53322,170,16,0.09
53323,170,13,0.08
53324,170,48,0.28
53325,170,20,0.12
53326,170,20,0.12
53327,170,37,0.22
53328,170,48,0.28
53329,170,30,0.18
53330,170,30,0.18
53331,170,39,0.23
53332,170,31,0.18
53333,170,34,0.20
53334,170,34,0.20
53335,170,34,0.20
53336,170,44,0.26
53337,170,49,0.29
53338,170,49,0.29
53339,170,34,0.20
53340,170,34,0.20
53341,170,35,0.21
53342,170,9,0.05
53343,170,4,0.02
53344,170,5,0.03
53345,170,6,0.04
53349,170,19,0.11
53350,170,19,0.11
53361,170,1,0.01
53365,170,4,0.02
53366,170,13,0.08
53367,170,7,0.04
53374,170,6,0.04
53375,170,6,0.04
53376,170,6,0.04
53377,170,6,0.04
53378,170,1,0.01
53379,170,1,0.01
53380,170,15,0.09
53381,170,15,0.09
53382,170,7,0.04
53383,170,38,0.22
53384,170,16,0.09
53385,170,7,0.04
53386,170,47,0.28
53387,170,7,0.04
53388,170,7,0.04
53393,170,8,0.05
53394,170,3,0.02
53395,170,19,0.11
53396,170,19,0.11
53397,170,5,0.03
53398,170,4,0.02
53399,170,4,0.02
53400,170,4,0.02
53401,170,4,0.02
53402,170,4,0.02
53403,170,5,0.03
53404,170,1,0.01
53406,170,17,0.10
53407,170,9,0.05
53408,170,40,0.24
53409,170,17,0.10
53410,170,9,0.05
53411,170,49,0.29
53412,170,9,0.05
53414,170,12,0.07
53415,170,28,0.16
53416,170,28,0.16
53417,170,24,0.14
53418,170,24,0.14
53419,170,23,0.14
53420,170,36,0.21
53421,170,43,0.25
53422,170,43,0.25
53423,170,16,0.09
53424,170,26,0.15
53425,170,46,0.27
53426,170,46,0.27
53427,170,46,0.27
53428,170,29,0.17
53429,170,25,0.15
53430,170,35,0.21
53431,170,35,0.21
53432,170,17,0.10
53433,170,10,0.06
53434,170,15,0.09
53435,170,15,0.09
53436,170,15,0.09
53437,170,10,0.06
53438,170,28,0.16
53439,170,28,0.16
53440,170,10,0.06
53441,170,28,0.16
53442,170,29,0.17
53443,170,3,0.02
53444,170,5,0.03
53445,170,3,0.02
53452,170,14,0.08
53464,170,7,0.04
53466,170,2,0.01
53473,170,2,0.01
53474,170,17,0.10
53475,170,6,0.04
53480,170,1,0.01
53484,13,3,0.23
53485,13,3,0.23
53486,13,3,0.23
53487,13,3,0.23
53500,4,1,0.25
53501,4,1,0.25
53505,86,3,0.03
53506,86,10,0.12
53508,86,1,0.01
53509,86,7,0.08
53510,86,7,0.08
53511,86,10,0.12
53512,86,8,0.09
53513,86,11,0.13
53514,86,11,0.13
53515,86,18,0.21
53516,86,18,0.21
53517,86,18,0.21
53518,86,13,0.15
53523,86,23,0.27
53526,86,12,0.14
53527,86,6,0.07
53528,86,3,0.03
53529,86,3,0.03
53534,86,1,0.01
53538,86,16,0.19
53551,86,2,0.02
53553,86,1,0.01
53557,86,7,0.08
53558,86,8,0.09
53559,86,8,0.09
53565,86,3,0.03
53566,86,3,0.03
53567,86,3,0.03
53568,86,3,0.03
53572,86,4,0.05
53573,86,9,0.10
53574,86,9,0.10
53575,86,7,0.08
53591,9,2,0.22
53593,9,1,0.11
53594,9,1,0.11
53597,9,1,0.11
53598,9,1,0.11
53606,23,1,0.04
53615,23,2,0.09
53625,5,2,0.40
53629,5,1,0.20
53630,173,11,0.06
53633,173,7,0.04
53641,173,2,0.01
53643,173,14,0.08
53645,173,10,0.06
53646,173,10,0.06
53647,173,20,0.12
53648,173,23,0.13
53649,173,23,0.13
53650,173,10,0.06
53651,173,30,0.17
53652,173,31,0.18
53653,173,30,0.17
53654,173,35,0.20
53655,173,20,0.12
53656,173,15,0.09
53657,173,11,0.06
53658,173,18,0.10
53659,173,13,0.08
53660,173,9,0.05
53661,173,9,0.05
53662,173,9,0.05
53663,173,3,0.02
53664,173,3,0.02
53665,173,3,0.02
53666,173,4,0.02
53667,173,8,0.05
53668,173,4,0.02
53669,173,6,0.03
53670,173,4,0.02
53671,173,4,0.02
53672,173,4,0.02
53674,173,5,0.03
53679,173,6,0.03
53680,173,14,0.08
53682,173,2,0.01
53683,173,14,0.08
53684,173,19,0.11
53685,173,10,0.06
53686,173,10,0.06
53688,173,12,0.07
53689,173,8,0.05
53691,173,15,0.09
53692,173,11,0.06
53695,173,4,0.02
53696,173,4,0.02
53700,173,11,0.06
53701,173,12,0.07
53703,173,1,0.01
53706,173,1,0.01
53712,173,3,0.02
53713,173,3,0.02
53752,173,1,0.01
53753,173,4,0.02
53757,173,5,0.03
53758,173,2,0.01
53759,173,2,0.01
53760,173,11,0.06
53761,173,3,0.02
53762,173,4,0.02
53767,173,11,0.06
53768,173,24,0.14
53769,173,18,0.10
53770,173,25,0.14
53771,173,10,0.06
53772,173,39,0.23
53773,173,23,0.13
53774,173,10,0.06
53775,173,24,0.14
53776,173,24,0.14
53777,173,39,0.23
53778,173,25,0.14
53779,173,24,0.14
53780,173,25,0.14
53781,173,23,0.13
53782,173,24,0.14
53783,173,25,0.14
53784,173,24,0.14
53785,173,25,0.14
53786,173,23,0.13
53787,173,24,0.14
53788,173,24,0.14
53789,173,24,0.14
53790,173,25,0.14
53791,173,14,0.08
53792,173,27,0.16
53793,173,24,0.14
53794,173,24,0.14
53795,173,24,0.14
53806,22,15,0.68
53807,22,9,0.41
53808,22,10,0.45
53809,22,9,0.41
53810,22,10,0.45
53811,22,9,0.41
53812,22,10,0.45
53813,22,10,0.45
53814,22,9,0.41
53815,22,10,0.45
53816,22,9,0.41
53817,22,10,0.45
53818,22,10,0.45
53819,22,10,0.45
53820,22,10,0.45
53821,22,9,0.41
53822,22,10,0.45
53823,22,10,0.45
53824,22,10,0.45
53825,22,10,0.45
53826,22,10,0.45
53838,88,38,0.43
53839,88,56,0.64
53840,88,51,0.58
53841,88,34,0.39
53842,88,34,0.39
53843,88,34,0.39
53844,88,24,0.27
53845,88,50,0.57
53846,88,50,0.57
53847,88,27,0.31
53848,88,50,0.57
53849,88,50,0.57
53850,88,25,0.28
53851,88,25,0.28
53852,88,24,0.27
53853,88,50,0.57
53854,88,50,0.57
53855,88,28,0.32
53856,88,28,0.32
53857,88,24,0.27
53858,88,50,0.57
53859,88,50,0.57
53860,88,51,0.58
53861,88,51,0.58
53862,88,24,0.27
53863,88,24,0.27
53864,88,24,0.27
53865,88,53,0.60
53866,88,53,0.60
53867,88,36,0.41
53868,88,36,0.41
53869,88,36,0.41
53870,88,53,0.60
53871,88,53,0.60
53872,88,34,0.39
53873,88,52,0.59
53874,88,52,0.59
53875,88,25,0.28
53876,88,46,0.52
53877,88,51,0.58
53878,88,51,0.58
53879,88,35,0.40
53880,88,35,0.40
53881,88,35,0.40
53882,88,53,0.60
53883,88,52,0.59
53884,88,53,0.60
53885,88,53,0.60
53886,88,34,0.39
53887,88,34,0.39
53888,88,34,0.39
53889,88,53,0.60
53890,88,53,0.60
53891,88,53,0.60
53892,88,53,0.60
53894,88,39,0.44
53895,88,39,0.44
53896,88,53,0.60
53897,88,53,0.60
53898,88,52,0.59
53899,88,52,0.59
53900,88,50,0.57
53901,88,50,0.57
53902,88,52,0.59
53903,88,52,0.59
53904,88,52,0.59
53907,88,37,0.42
53915,88,4,0.05
53916,88,11,0.13
53926,3,1,0.33
53929,3,1,0.33
53958,12,1,0.08
53959,12,1,0.08
53960,12,2,0.17
53961,12,2,0.17
53962,12,2,0.17
53963,12,2,0.17
53965,12,2,0.17
53967,12,1,0.08
53968,12,1,0.08
53978,8,1,0.13
54008,166,22,0.13
54009,166,28,0.17
54010,166,13,0.08
54011,166,3,0.02
54012,166,3,0.02
54014,166,4,0.02
54015,166,4,0.02
54016,166,4,0.02
54017,166,4,0.02
54018,166,14,0.08
54019,166,5,0.03
54020,166,5,0.03
54021,166,14,0.08
54022,166,28,0.17
54023,166,25,0.15
54024,166,25,0.15
54025,166,5,0.03
54026,166,26,0.16
54027,166,10,0.06
54032,166,8,0.05
54033,166,8,0.05
54034,166,14,0.08
54035,166,7,0.04
54036,166,7,0.04
54037,166,16,0.10
54038,166,15,0.09
54039,166,15,0.09
54040,166,6,0.04
54041,166,6,0.04
54056,166,1,0.01
