change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
38726,3,1,0.33
38727,3,1,0.33
38767,39,1,0.03
38768,39,1,0.03
38779,93,3,0.03
38780,93,3,0.03
38781,93,3,0.03
38782,93,3,0.03
38786,93,4,0.04
38787,93,4,0.04
38788,93,4,0.04
38794,93,12,0.13
38795,93,12,0.13
38796,93,12,0.13
38797,93,12,0.13
38798,93,10,0.11
38799,93,15,0.16
38813,93,17,0.18
38814,93,4,0.04
38815,93,2,0.02
38816,93,5,0.05
38820,93,3,0.03
38823,93,4,0.04
38824,93,4,0.04
38826,93,3,0.03
38827,93,3,0.03
38828,93,3,0.03
38830,93,5,0.05
38831,93,17,0.18
38832,93,17,0.18
38833,93,16,0.17
38834,93,15,0.16
38835,93,8,0.09
38836,93,15,0.16
38837,93,16,0.17
38838,93,12,0.13
38839,93,15,0.16
38840,93,15,0.16
38841,93,8,0.09
38842,93,3,0.03
38843,93,3,0.03
38844,93,9,0.10
38845,93,6,0.06
38846,93,6,0.06
38847,93,6,0.06
38848,93,6,0.06
38849,93,6,0.06
38850,93,6,0.06
38851,93,6,0.06
38876,47,5,0.11
38877,47,5,0.11
38881,47,5,0.11
38882,47,5,0.11
38883,47,2,0.04
38884,47,5,0.11
38885,47,5,0.11
38890,47,5,0.11
38891,47,3,0.06
38892,47,2,0.04
38893,47,4,0.09
38894,47,3,0.06
38895,47,3,0.06
38951,37,2,0.05
38954,37,2,0.05
38955,37,2,0.05
38987,4,1,0.25
38988,4,1,0.25
38997,17,2,0.12
38998,17,1,0.06
39001,17,1,0.06
39002,17,1,0.06
39008,17,2,0.12
39009,17,1,0.06
39024,52,1,0.02
39025,52,1,0.02
39033,52,1,0.02
39037,52,6,0.12
39038,52,6,0.12
39039,52,6,0.12
39040,52,5,0.10
39041,52,7,0.13
39042,52,7,0.13
39043,52,7,0.13
39044,52,4,0.08
39046,52,5,0.10
39047,52,5,0.10
39049,52,1,0.02
39051,52,9,0.17
39052,52,9,0.17
39053,52,2,0.04
39054,52,1,0.02
39055,52,1,0.02
39056,52,2,0.04
39057,52,2,0.04
39061,52,2,0.04
39065,38,6,0.16
39066,38,5,0.13
39067,38,5,0.13
39068,38,6,0.16
39069,38,4,0.11
39070,38,4,0.11
39071,38,5,0.13
39072,38,1,0.03
39073,38,1,0.03
39075,38,1,0.03
39098,38,2,0.05
39099,38,1,0.03
39100,38,1,0.03
39225,11,2,0.18
39226,11,2,0.18
39230,11,2,0.18
39231,11,2,0.18
39257,3,3,1.00
39260,3,3,1.00
39265,12,9,0.75
39266,12,9,0.75
39267,12,4,0.33
39268,12,4,0.33
39269,12,4,0.33
39270,12,9,0.75
39271,12,9,0.75
39272,12,7,0.58
39273,12,7,0.58
39274,12,7,0.58
39275,12,8,0.67
39308,13,1,0.08
39309,13,1,0.08
39316,13,1,0.08
39342,20,1,0.05
39344,20,1,0.05
39396,6,1,0.17
39404,4,1,0.25
39405,4,1,0.25
39414,10,3,0.30
39415,10,4,0.40
39416,10,2,0.20
39417,10,3,0.30
39418,10,3,0.30
39580,3,1,0.33
39581,3,1,0.33
39589,19,1,0.05
39590,19,1,0.05
39639,31,1,0.03
39671,45,1,0.02
39672,45,1,0.02
39673,45,1,0.02
39674,45,1,0.02
39676,45,1,0.02
39682,45,1,0.02
39708,12,1,0.08
39740,3,3,1.00
39741,3,1,0.33
39742,3,1,0.33
39743,3,1,0.33
39771,47,1,0.02
39772,47,1,0.02
39773,47,1,0.02
39775,47,1,0.02
39822,10,1,0.10
39823,10,1,0.10
39849,17,1,0.06
39850,17,1,0.06
39851,17,2,0.12
39868,15,1,0.07
39869,15,1,0.07
39870,15,3,0.20
39871,15,2,0.13
39872,15,2,0.13
39873,15,2,0.13
39874,15,5,0.33
39876,15,2,0.13
39890,27,1,0.04
39894,27,1,0.04
39921,10,5,0.50
39925,10,3,0.30
39926,10,4,0.40
39927,10,3,0.30
39929,10,5,0.50
39930,10,4,0.40
39931,80,4,0.05
39932,80,4,0.05
39935,80,4,0.05
39936,80,4,0.05
39975,80,1,0.01
39977,80,1,0.01
40056,21,2,0.10
40057,21,2,0.10
40059,21,2,0.10
40104,9,2,0.22
40107,9,1,0.11
40108,9,1,0.11
40224,29,1,0.03
40226,29,1,0.03
40274,4,2,0.50
40276,4,2,0.50
40287,14,1,0.07
40296,14,1,0.07
40310,18,1,0.06
40312,18,1,0.06
40327,8,1,0.13
40332,8,1,0.13
40406,51,1,0.02
40407,51,1,0.02
40408,51,1,0.02
40410,51,1,0.02
40411,51,1,0.02
40412,51,1,0.02
40424,51,6,0.12
40427,51,4,0.08
40428,51,4,0.08
40429,51,4,0.08
40430,51,4,0.08
40445,51,1,0.02
40446,51,1,0.02
40489,2,1,0.50
40490,2,1,0.50
40520,3,2,0.67
40521,3,1,0.33
40522,3,1,0.33
40537,12,6,0.50
40538,12,6,0.50
40539,12,5,0.42
40540,12,5,0.42
40541,12,2,0.17
40542,12,2,0.17
40543,12,6,0.50
40549,10,2,0.20
40550,10,1,0.10
40551,10,1,0.10
40606,22,4,0.18
40607,22,4,0.18
40608,22,4,0.18
40609,22,4,0.18
40610,22,4,0.18
40611,22,4,0.18
40612,22,6,0.27
40648,15,1,0.07
40649,15,1,0.07
40650,15,2,0.13
40691,7,2,0.29
40692,7,2,0.29
40694,7,3,0.43
40706,12,5,0.42
40707,12,1,0.08
40708,12,1,0.08
40709,12,1,0.08
40710,12,1,0.08
40711,12,1,0.08
40758,208,3,0.01
40761,208,1,0.00
40765,208,1,0.00
40767,208,1,0.00
40768,208,2,0.01
40773,208,3,0.01
40786,208,1,0.00
40795,208,1,0.00
40798,208,3,0.01
40831,208,1,0.00
40848,208,1,0.00
40855,208,3,0.01
40871,208,1,0.00
40874,208,1,0.00
40934,208,1,0.00
40938,208,1,0.00
40939,208,1,0.00
40962,7,1,0.14
40967,7,1,0.14
40977,67,1,0.01
40993,67,1,0.01
41005,67,2,0.03
41006,67,2,0.03
41012,67,7,0.10
41013,67,7,0.10
41015,67,5,0.07
41016,67,5,0.07
41017,67,5,0.07
41018,67,5,0.07
41023,67,8,0.12
41033,67,4,0.06
41034,67,4,0.06
41035,67,11,0.16
41036,67,11,0.16
41037,67,4,0.06
41038,67,5,0.07
41039,67,7,0.10
41040,67,7,0.10
41041,67,5,0.07
41050,3,1,0.33
41057,13,1,0.08
41059,13,3,0.23
41060,13,2,0.15
41066,13,2,0.15
41067,13,1,0.08
41068,13,1,0.08
41097,39,6,0.15
41098,39,1,0.03
41099,39,1,0.03
41100,39,1,0.03
41109,39,6,0.15
41110,39,4,0.10
41111,39,2,0.05
41112,39,2,0.05
41113,39,4,0.10
41114,39,4,0.10
41115,39,3,0.08
41130,29,2,0.07
41131,29,5,0.17
41132,29,1,0.03
41133,29,2,0.07
41134,29,2,0.07
41135,29,1,0.03
41137,29,4,0.14
41139,29,2,0.07
41140,29,5,0.17
41141,29,1,0.03
41142,29,2,0.07
41143,29,2,0.07
41144,29,1,0.03
41148,29,2,0.07
41150,29,2,0.07
41151,29,1,0.03
41152,29,3,0.10
41155,29,3,0.10
41156,29,3,0.10
41161,13,2,0.15
41162,13,2,0.15
41165,13,1,0.08
41166,13,1,0.08
41169,13,2,0.15
41170,13,2,0.15
41182,26,1,0.04
41183,26,1,0.04
41188,26,9,0.35
41189,26,9,0.35
41191,26,9,0.35
41192,26,9,0.35
41193,26,4,0.15
41194,26,4,0.15
41195,26,4,0.15
41196,26,4,0.15
41197,26,4,0.15
41198,26,4,0.15
41199,26,4,0.15
41209,8,1,0.13
41211,8,1,0.13
41265,2,1,0.50
41266,2,1,0.50
41302,17,3,0.18
41303,17,1,0.06
