change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
1,29,3,0.10
11,29,1,0.03
12,29,1,0.03
19,29,2,0.07
21,29,3,0.10
24,29,3,0.10
28,29,3,0.10
31,229,15,0.07
34,229,3,0.01
35,229,14,0.06
38,229,33,0.14
39,229,10,0.04
43,229,3,0.01
44,229,14,0.06
48,229,2,0.01
49,229,28,0.12
50,229,28,0.12
51,229,1,0.00
52,229,1,0.00
67,229,2,0.01
68,229,2,0.01
69,229,30,0.13
70,229,32,0.14
71,229,2,0.01
72,229,1,0.00
73,229,1,0.00
75,229,5,0.02
76,229,5,0.02
78,229,1,0.00
79,229,30,0.13
80,229,11,0.05
81,229,11,0.05
82,229,3,0.01
86,229,15,0.07
90,229,4,0.02
91,229,4,0.02
94,229,9,0.04
95,229,4,0.02
96,229,9,0.04
101,229,9,0.04
102,229,12,0.05
104,229,3,0.01
105,229,18,0.08
106,229,41,0.18
107,229,6,0.03
108,229,4,0.02
109,229,12,0.05
110,229,41,0.18
111,229,7,0.03
112,229,39,0.17
113,229,36,0.16
114,229,37,0.16
115,229,20,0.09
116,229,21,0.09
117,229,23,0.10
118,229,44,0.19
119,229,30,0.13
120,229,30,0.13
121,229,11,0.05
123,229,56,0.24
124,229,49,0.21
125,229,19,0.08
126,229,19,0.08
128,229,40,0.17
129,229,32,0.14
130,229,24,0.10
131,229,17,0.07
132,229,19,0.08
133,229,51,0.22
134,229,49,0.21
135,229,20,0.09
136,229,22,0.10
138,229,36,0.16
139,229,36,0.16
142,229,3,0.01
145,229,36,0.16
148,229,3,0.01
150,229,42,0.18
152,229,4,0.02
153,229,1,0.00
156,229,32,0.14
157,229,30,0.13
158,229,30,0.13
161,229,14,0.06
170,229,17,0.07
171,229,5,0.02
172,229,5,0.02
173,229,5,0.02
174,229,1,0.00
177,229,5,0.02
179,229,10,0.04
181,229,10,0.04
182,229,31,0.14
183,229,14,0.06
184,229,41,0.18
185,229,7,0.03
186,229,3,0.01
187,229,3,0.01
188,229,3,0.01
189,229,3,0.01
196,229,3,0.01
197,229,5,0.02
198,229,5,0.02
200,229,5,0.02
206,229,9,0.04
207,229,12,0.05
208,229,24,0.10
209,229,13,0.06
210,229,13,0.06
213,229,21,0.09
216,229,21,0.09
219,229,14,0.06
221,229,1,0.00
222,229,1,0.00
224,229,15,0.07
225,229,2,0.01
226,229,30,0.13
227,229,30,0.13
230,229,3,0.01
231,229,4,0.02
233,229,2,0.01
234,229,8,0.03
237,229,22,0.10
238,229,17,0.07
239,229,3,0.01
242,229,36,0.16
243,229,2,0.01
246,229,15,0.07
247,229,1,0.00
248,229,45,0.20
249,229,10,0.04
250,229,15,0.07
251,229,35,0.15
252,229,11,0.05
253,229,33,0.14
254,229,33,0.14
256,229,18,0.08
258,229,21,0.09
259,229,4,0.02
261,36,3,0.08
270,36,1,0.03
274,36,3,0.08
282,36,3,0.08
293,36,3,0.08
323,66,5,0.08
325,66,3,0.05
329,66,3,0.05
331,66,5,0.08
332,66,10,0.15
333,66,10,0.15
334,66,10,0.15
335,66,4,0.06
336,66,11,0.17
337,66,11,0.17
338,66,11,0.17
339,66,10,0.15
341,66,9,0.14
342,66,11,0.17
343,66,9,0.14
344,66,4,0.06
345,66,11,0.17
346,66,10,0.15
347,66,1,0.02
348,66,1,0.02
349,66,4,0.06
353,66,2,0.03
354,66,7,0.11
357,66,2,0.03
359,66,1,0.02
360,66,1,0.02
362,66,5,0.08
369,66,2,0.03
370,66,2,0.03
374,66,2,0.03
375,66,2,0.03
378,66,5,0.08
381,66,5,0.08
388,66,5,0.08
392,5,1,0.20
394,5,1,0.20
396,23,4,0.17
399,23,4,0.17
402,23,4,0.17
405,23,4,0.17
412,23,4,0.17
422,21,3,0.14
423,21,1,0.05
425,21,3,0.14
426,21,1,0.05
435,21,1,0.05
436,21,1,0.05
437,21,3,0.14
438,21,1,0.05
440,21,1,0.05
442,21,3,0.14
444,28,5,0.18
446,28,5,0.18
452,28,5,0.18
458,28,1,0.04
459,28,5,0.18
461,28,5,0.18
465,28,5,0.18
466,28,1,0.04
469,28,2,0.07
473,56,1,0.02
474,56,1,0.02
475,56,3,0.05
476,56,3,0.05
479,56,3,0.05
482,56,1,0.02
483,56,1,0.02
486,56,1,0.02
487,56,2,0.04
489,56,2,0.04
497,56,2,0.04
498,56,3,0.05
505,56,3,0.05
515,56,1,0.02
516,56,1,0.02
517,56,2,0.04
519,56,5,0.09
521,56,3,0.05
522,56,3,0.05
524,56,1,0.02
526,56,2,0.04
530,30,4,0.13
533,30,4,0.13
545,30,4,0.13
550,30,2,0.07
551,30,2,0.07
552,30,2,0.07
553,30,2,0.07
558,30,2,0.07
559,30,2,0.07
560,30,2,0.07
561,339,126,0.37
562,339,126,0.37
563,339,129,0.38
564,339,129,0.38
565,339,129,0.38
566,339,130,0.38
567,339,126,0.37
568,339,126,0.37
569,339,126,0.37
570,339,126,0.37
571,339,126,0.37
572,339,126,0.37
573,339,126,0.37
574,339,126,0.37
575,339,129,0.38
576,339,129,0.38
578,339,12,0.04
579,339,45,0.13
580,339,45,0.13
581,339,126,0.37
582,339,126,0.37
583,339,126,0.37
584,339,126,0.37
585,339,126,0.37
586,339,126,0.37
588,339,12,0.04
589,339,151,0.45
591,339,127,0.37
594,339,74,0.22
595,339,126,0.37
596,339,126,0.37
597,339,126,0.37
598,339,126,0.37
599,339,126,0.37
600,339,126,0.37
601,339,266,0.78
602,339,33,0.10
603,339,129,0.38
604,339,130,0.38
605,339,167,0.49
606,339,167,0.49
607,339,167,0.49
608,339,167,0.49
609,339,178,0.53
610,339,178,0.53
611,339,129,0.38
612,339,130,0.38
613,339,126,0.37
614,339,126,0.37
615,339,167,0.49
616,339,167,0.49
617,339,167,0.49
618,339,167,0.49
619,339,129,0.38
620,339,130,0.38
621,339,2,0.01
622,339,2,0.01
623,339,128,0.38
624,339,128,0.38
625,339,2,0.01
626,339,2,0.01
627,339,126,0.37
628,339,126,0.37
631,339,282,0.83
632,339,169,0.50
633,339,167,0.49
634,339,167,0.49
636,339,71,0.21
637,339,2,0.01
638,339,49,0.14
639,339,164,0.48
640,339,164,0.48
641,339,171,0.50
642,339,171,0.50
645,339,180,0.53
646,339,180,0.53
647,339,167,0.49
648,339,167,0.49
649,339,167,0.49
650,339,167,0.49
651,339,167,0.49
652,339,167,0.49
653,339,129,0.38
654,339,130,0.38
655,339,164,0.48
656,339,164,0.48
657,339,167,0.49
658,339,167,0.49
659,339,167,0.49
660,339,280,0.83
661,339,167,0.49
662,339,167,0.49
663,339,126,0.37
664,339,126,0.37
665,339,129,0.38
666,339,130,0.38
667,339,2,0.01
668,339,2,0.01
669,339,169,0.50
670,339,282,0.83
671,339,167,0.49
672,339,167,0.49
673,339,164,0.48
674,339,279,0.82
675,339,167,0.49
676,339,280,0.83
677,339,167,0.49
678,339,167,0.49
680,339,1,0.00
681,339,174,0.51
682,339,174,0.51
683,339,169,0.50
684,339,282,0.83
685,339,169,0.50
686,339,282,0.83
687,339,164,0.48
688,339,164,0.48
689,339,167,0.49
690,339,167,0.49
693,339,126,0.37
694,339,126,0.37
695,339,167,0.49
696,339,167,0.49
697,339,169,0.50
698,339,175,0.52
699,339,167,0.49
700,339,167,0.49
701,339,171,0.50
702,339,171,0.50
703,339,169,0.50
704,339,175,0.52
705,339,167,0.49
706,339,167,0.49
707,339,167,0.49
708,339,167,0.49
709,339,126,0.37
710,339,126,0.37
711,339,174,0.51
712,339,174,0.51
713,339,167,0.49
714,339,280,0.83
715,339,169,0.50
716,339,282,0.83
717,339,174,0.51
718,339,174,0.51
719,339,167,0.49
720,339,167,0.49
721,339,167,0.49
722,339,167,0.49
723,339,176,0.52
724,339,176,0.52
725,339,167,0.49
726,339,167,0.49
727,339,167,0.49
728,339,167,0.49
729,339,167,0.49
730,339,167,0.49
733,339,178,0.53
734,339,178,0.53
735,339,167,0.49
736,339,167,0.49
737,339,174,0.51
738,339,174,0.51
739,339,178,0.53
740,339,178,0.53
741,339,167,0.49
742,339,167,0.49
743,339,167,0.49
744,339,167,0.49
745,339,170,0.50
746,339,170,0.50
747,339,167,0.49
748,339,167,0.49
749,339,171,0.50
750,339,171,0.50
751,339,171,0.50
752,339,171,0.50
753,339,182,0.54
754,339,182,0.54
755,339,174,0.51
756,339,174,0.51
757,339,167,0.49
758,339,167,0.49
759,339,174,0.51
760,339,174,0.51
761,339,171,0.50
762,339,174,0.51
763,339,126,0.37
764,339,126,0.37
765,339,174,0.51
766,339,33,0.10
767,339,129,0.38
768,339,130,0.38
769,339,171,0.50
770,339,171,0.50
771,339,283,0.83
