change_id,num_all_cochange,num_cloned_cochange
54026,25,1
54027,25,1
54049,12,1
54050,12,1
54059,8,1
54060,8,1
54073,8,2
54076,8,1
54077,8,1
54087,12,1
54093,12,1
54135,32,1
54136,32,1
54138,32,1
54141,32,1
54146,32,1
54151,32,1
54157,32,3
54223,33,2
54224,33,2
54225,33,2
54226,33,3
54227,33,6
54228,33,4
54231,33,1
54232,33,1
54234,33,4
54235,33,4
54236,33,5
54237,33,3
54244,22,1
54245,22,1
54246,22,1
54252,22,1
54253,22,1
54256,22,1
54257,22,6
54304,13,1
54309,13,1
54345,19,4
54346,19,5
54347,19,5
54348,19,6
54350,19,6
54352,19,6
54354,19,6
54414,14,1
54428,34,1
54429,34,1
54430,34,2
54433,34,3
54434,34,3
54438,34,7
54443,34,1
54446,34,1
54447,34,2
54449,34,5
54450,34,4
54451,34,1
54452,34,1
54454,34,2
54455,34,2
54456,34,1
54458,34,2
54459,34,2
54460,34,4
54472,14,1
54473,14,1
54479,14,2
54482,8,1
54504,7,1
54505,7,1
54509,3,1
54544,25,2
54545,25,2
54546,25,10
54547,25,2
54550,25,2
54553,25,1
54554,25,8
54556,25,8
54557,25,9
54558,25,7
54559,25,7
54561,25,6
54562,25,6
54565,25,4
54572,24,2
54573,24,2
54574,24,2
54645,24,2
54648,24,1
54649,24,1
54671,12,2
54672,12,2
54673,12,2
54709,8,1
54711,8,1
54742,20,3
54750,20,1
54753,20,4
54755,20,2
54756,20,2
54760,55,1
54762,55,1
54772,55,1
54773,55,1
54789,55,2
54790,55,1
54799,55,2
54800,55,2
54803,55,1
54804,55,2
54815,29,5
54818,29,4
54819,29,3
54820,29,8
54825,29,3
54832,29,1
54833,29,1
54836,29,2
54837,29,4
54838,29,10
54839,29,4
54840,29,3
54843,29,5
54844,2,1
54845,2,1
54929,141,1
54932,141,7
54933,141,7
54934,141,11
54935,141,5
54936,141,5
54937,141,7
54938,141,7
54943,141,9
54944,141,9
54964,141,2
54965,141,2
54966,141,2
54970,141,5
54975,141,1
54985,141,6
54986,141,6
54990,141,1
54994,141,1
55002,141,6
55006,141,1
55008,141,1
55015,141,3
55016,141,3
55017,141,3
55019,141,3
55020,141,3
55021,141,3
55026,141,6
55030,141,2
55031,141,2
55032,141,2
55033,141,2
55037,141,3
55038,141,4
55041,141,1
55042,141,1
55043,141,1
55044,141,1
55050,141,5
55051,141,1
55052,141,5
55053,141,5
55054,141,3
55055,141,4
55056,141,4
55064,141,4
55101,78,2
55102,78,2
55103,78,2
55109,78,6
55110,78,6
55111,78,7
55112,78,9
55116,78,4
55118,78,12
55119,78,6
55120,78,7
55121,78,7
55122,78,10
55123,78,10
55124,78,7
55125,78,6
55126,78,6
55127,78,6
55128,78,9
55129,78,9
55135,78,2
55136,78,1
55137,78,1
55139,78,1
55140,78,1
55141,78,1
55143,78,2
55146,78,4
55147,78,6
55148,78,6
55149,78,7
55150,78,4
55156,78,4
55158,78,2
55159,78,3
55160,78,2
55161,78,3
55162,78,3
55164,78,18
55165,78,13
55166,78,12
55167,78,12
55168,78,12
55169,78,15
55172,78,1
55173,78,1
55174,78,2
55181,244,2
55196,244,6
55197,244,6
55198,244,6
55199,244,6
55200,244,4
55201,244,4
55202,244,4
55203,244,4
55204,244,4
55205,244,4
55207,244,4
55212,244,1
55213,244,1
55221,244,1
55222,244,1
55225,244,15
55241,244,19
55242,244,22
55243,244,6
55248,244,6
55249,244,8
55250,244,6
55251,244,6
55252,244,6
55253,244,6
55254,244,7
55255,244,6
55256,244,8
55257,244,10
55258,244,8
55259,244,8
55260,244,8
55261,244,8
55264,244,1
55265,244,2
55266,244,2
55282,244,1
55283,244,1
55284,244,2
55299,244,2
55300,244,2
55301,244,2
55308,244,7
55309,244,6
55310,244,6
55318,244,12
55319,244,12
55328,244,7
55331,244,21
55332,244,4
55336,244,11
55337,244,1
55338,244,1
55341,244,13
55346,244,3
55347,244,11
55349,244,15
55356,244,1
55357,244,1
55358,244,12
55365,244,17
55366,244,14
55372,244,4
55374,244,12
55375,244,12
55389,244,10
55390,244,10
55391,244,10
55392,244,10
55393,244,21
55394,244,21
55395,244,4
55396,244,4
55400,244,5
55402,244,5
55404,244,5
55406,244,5
55409,244,5
55411,244,5
55416,244,3
55421,244,3
55422,244,4
55433,69,1
55437,69,1
55440,69,3
55441,69,3
55442,69,3
55452,69,5
55460,69,3
55461,69,3
55463,69,5
55467,69,4
55468,69,4
55472,69,3
55473,69,3
55474,69,3
55475,69,3
55483,69,5
55484,69,1
55488,69,3
55509,139,7
55512,139,1
55519,139,4
55521,139,4
55523,139,4
55524,139,4
55532,139,3
55533,139,3
55539,139,1
55555,139,1
55556,139,5
55557,139,5
55562,139,5
55565,139,2
55566,139,2
55567,139,3
55569,139,11
55570,139,10
55572,139,6
55573,139,6
55574,139,6
55575,139,6
55579,139,6
55580,139,6
55581,139,6
55582,139,9
55590,139,3
55591,139,2
55592,139,2
55600,139,1
55605,139,1
55606,139,4
55607,139,11
55620,139,7
55627,139,5
55631,139,3
55632,139,1
55634,69,2
55638,69,2
55639,69,1
55640,69,2
55641,69,1
55642,69,1
55643,69,1
55647,69,3
55651,69,1
55661,69,2
55662,69,2
55663,69,2
55665,69,3
55673,69,2
55686,69,3
55687,69,1
55688,69,1
55690,69,3
55692,69,1
55693,69,1
55709,25,10
55714,25,3
55715,25,1
55716,25,3
55717,25,1
55720,25,3
55726,25,4
55727,25,4
55728,25,4
55729,25,4
55730,25,5
55731,25,5
55732,25,5
55740,8,1
55742,8,1
55745,4,1
55746,4,1
55770,34,1
55771,34,1
55813,13,2
55815,13,2
55824,13,2
55828,4,1
55829,4,1
55845,52,2
55865,52,1
55866,52,1
55869,52,1
55870,52,1
55877,52,3
55878,52,4
55880,52,2
55881,52,2
55897,23,5
55898,23,5
55899,23,5
55900,23,5
55901,23,4
55902,23,4
55903,23,4
55915,16,2
55916,16,2
55917,16,2
55918,16,1
55919,16,1
55925,27,2
55926,27,1
55931,27,2
55968,22,2
55970,22,2
56010,26,2
56011,26,2
56012,26,2
56013,26,2
56019,26,2
56031,26,1
56032,26,1
56076,18,1
56077,18,1
56080,18,2
56090,29,1
56091,29,1
56125,34,8
56126,34,2
56127,34,1
56128,34,2
56129,34,1
56133,34,8
56134,34,2
56135,34,6
56136,34,6
56137,34,10
56138,34,7
56143,34,6
56144,34,6
56150,34,1
56151,34,1
56169,22,2
56177,22,2
56185,22,2
56216,42,2
56217,42,2
56218,42,3
56220,42,3
56223,42,1
56224,42,1
56226,42,3
56227,42,9
56229,42,1
56230,42,4
56231,42,9
56232,42,10
56233,42,10
56235,42,9
56236,42,9
56237,42,9
56238,42,9
56239,42,9
56240,42,9
56243,42,1
56244,42,1
56245,42,1
56249,42,4
56251,42,1
56257,13,4
56264,13,1
56265,13,1
56266,13,2
56287,14,1
56294,14,1
56296,1,1
56297,1,1
56300,32,2
56304,32,1
56305,32,1
56308,32,1
56309,32,2
56313,32,3
56314,32,1
56315,32,3
56316,32,3
56317,32,3
56321,32,3
56328,32,1
56394,18,1
56398,18,1
56422,8,1
56426,8,1
56478,2,1
56479,2,1
56490,12,1
56530,13,1
56531,13,1
56535,13,3
56536,13,1
56552,2,1
56553,2,1
56579,1,1
56580,1,1
56593,15,1
56612,37,2
56623,37,2
56624,37,2
56625,37,4
56626,37,3
56628,37,3
56629,37,3
56630,37,1
56631,37,1
56632,37,3
56633,37,4
56647,30,5
56648,30,5
56651,30,3
56652,30,3
56653,30,2
56654,30,2
56655,30,2
56656,30,5
56657,30,5
56664,30,5
56665,30,5
56690,8,1
56692,13,1
56694,13,1
56707,7,3
56708,7,4
56709,7,3
56710,7,3
56711,7,4
56712,7,4
56713,7,4
56726,13,1
56727,13,1
56734,20,14
56735,20,13
56736,20,14
56737,20,13
56738,20,13
56739,20,14
56740,20,13
56741,20,14
56742,20,13
56743,20,13
56744,20,14
56745,20,13
56746,20,14
56747,20,13
56748,20,6
56763,11,1
56768,11,1
56769,11,1
56776,9,3
56777,9,5
56778,9,1
56779,9,6
56781,9,2
56782,9,2
56784,9,3
56787,21,1
56789,21,1
56812,12,4
56813,12,4
56814,12,3
56815,12,3
56816,12,2
56817,12,1
56818,12,5
56852,20,1
56853,20,1
56879,69,1
56882,69,3
56887,69,3
56888,69,3
56889,69,3
56890,69,3
56891,69,3
56895,69,3
56910,69,1
56911,69,2
56912,69,1
56914,69,7
56916,69,4
56917,69,4
56919,69,6
56928,69,3
56936,69,4
56937,69,4
56967,48,5
56968,48,5
56969,48,5
56970,48,3
56971,48,3
56972,48,3
56973,48,2
56988,48,1
56989,48,1
56993,85,2
56994,85,1
56995,85,1
57005,85,1
57028,85,4
57029,85,4
57030,85,4
57031,85,9
57032,85,6
57033,85,6
57034,85,6
57035,85,6
57036,85,6
57037,85,4
57038,85,4
57039,85,4
57040,85,9
57041,85,6
57042,85,6
57043,85,6
57044,85,6
57045,85,11
57046,85,5
57047,85,5
57048,85,5
57049,85,5
57051,85,6
57064,85,4
57070,85,8
57071,85,8
57072,85,9
57074,85,10
57076,85,3
57088,48,1
57106,48,1
57108,48,1
57109,48,1
57110,48,1
57111,48,1
57112,48,1
57113,48,1
57125,48,4
57126,48,4
57127,48,4
57128,48,4
57129,48,4
57130,48,5
57131,48,5
57132,48,5
57133,48,5
57136,29,2
57137,29,2
57147,29,2
57160,29,1
57161,29,1
57201,38,3
57203,38,2
57204,38,2
57216,38,3
57218,38,4
57219,38,4
57220,38,5
57221,38,5
57222,38,5
57223,38,5
57242,50,3
57246,50,3
57252,50,2
57253,50,2
57255,50,2
57256,50,2
57265,50,4
57266,50,5
57270,50,1
57271,50,1
57275,50,1
57289,50,4
57292,11,2
57293,11,2
57294,11,2
57330,33,4
57331,33,4
57336,33,4
57351,41,1
57352,41,1
57354,41,2
57360,41,1
57361,41,1
57362,41,1
57363,41,1
57364,41,4
57365,41,1
57366,41,3
57373,41,1
57375,41,3
57377,41,1
57378,41,1
57379,41,1
57380,41,2
57381,41,1
57389,26,4
57390,26,4
57391,26,4
57392,26,3
57393,26,3
57394,26,3
57395,26,3
57400,26,1
57401,26,1
57403,26,2
57411,26,2
57412,26,2
57413,26,2
57414,26,2
57418,19,1
57419,19,1
57453,28,3
57454,28,1
57455,28,2
57465,28,3
57466,28,1
57467,28,1
57471,4,2
57474,4,2
57475,4,2
57483,41,4
57484,41,4
57487,41,1
57488,41,1
57489,41,6
57490,41,2
57491,41,6
57494,41,2
57495,41,2
57496,41,4
57497,41,3
57498,41,2
57499,41,2
57513,41,1
57514,41,5
57517,41,3
57526,69,1
57527,69,1
57530,69,2
57531,69,2
57537,69,3
57553,69,3
57554,69,1
57556,69,1
57557,69,1
57558,69,1
57559,69,14
57560,69,14
57562,69,3
57564,69,6
57565,69,5
57566,69,5
57567,69,6
57568,69,2
57573,69,5
57574,69,5
57578,69,13
57588,51,1
57589,51,1
57592,51,4
57598,51,5
57599,51,5
57600,51,2
57601,51,2
57602,51,2
57603,51,2
57604,51,2
57608,51,2
57609,51,1
57622,51,1
57623,51,1
57624,51,1
57625,51,1
57629,51,1
57632,51,2
57645,41,2
57669,41,3
57670,41,3
57679,41,2
57685,25,3
57698,25,3
57699,25,3
57702,25,3
57703,25,3
57704,25,3
57720,28,7
57721,28,7
57722,28,7
57723,28,7
57724,28,7
57725,28,7
57726,28,7
57727,28,7
57729,28,1
57730,28,1
57732,28,2
57734,28,2
57735,28,1
57787,31,3
57788,31,3
57789,31,3
57790,31,3
57799,13,1
57800,13,1
57801,13,3
57807,13,1
57808,13,1
57811,13,1
57814,26,1
57817,26,2
57818,26,1
57821,26,2
57822,26,1
57847,5,1
57851,32,4
57852,32,4
57859,32,2
57863,32,4
57864,32,3
57865,32,3
57874,32,1
57877,32,1
57882,78,3
57883,78,3
57884,78,3
57885,78,5
57886,78,4
57887,78,4
57888,78,1
57901,78,1
57902,78,4
57932,78,1
57935,78,3
57936,78,2
57939,78,3
57940,78,4
57941,78,4
57942,78,5
57943,78,4
57945,78,4
57946,78,4
57947,78,4
57948,78,4
57950,78,3
57951,78,2
57954,78,3
57955,78,3
57958,78,2
57964,6,1
57966,6,1
57970,25,4
57973,25,3
57974,25,3
57980,25,3
57983,25,8
57984,25,8
57985,25,8
57986,25,8
57987,25,8
57988,25,8
57989,25,8
57990,25,8
57991,25,8
57993,25,1
58001,59,7
58002,59,7
58004,59,8
58006,59,18
58009,59,14
58011,59,21
58012,59,20
58013,59,19
58022,59,5
58027,59,2
58028,59,1
58030,59,9
58034,59,14
58035,59,14
58036,59,10
58037,59,14
58039,59,20
58040,59,20
58042,59,20
58043,59,20
58045,59,14
58048,59,17
58049,59,18
58050,59,15
58051,59,18
58052,59,18
58053,59,1
58054,59,16
58055,59,18
58062,17,1
58069,17,1
58074,17,1
58075,17,2
58077,4,1
58078,4,1
58080,4,1
58082,34,1
58083,34,1
58084,34,1
58110,34,1
58113,34,1
58115,34,1
