change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
42260,18,1,0.06
42262,18,1,0.06
42266,61,3,0.05
42267,61,3,0.05
42268,61,3,0.05
42271,61,7,0.11
42273,61,5,0.08
42290,61,1,0.02
42293,61,6,0.10
42295,61,2,0.03
42331,21,3,0.14
42332,21,2,0.10
42336,21,3,0.14
42337,21,3,0.14
42349,7,3,0.43
42351,7,1,0.14
42352,7,1,0.14
42353,7,1,0.14
42359,175,5,0.03
42376,175,10,0.06
42380,175,2,0.01
42384,175,1,0.01
42385,175,1,0.01
42388,175,1,0.01
42389,175,1,0.01
42398,175,1,0.01
42408,175,2,0.01
42422,175,1,0.01
42447,175,6,0.03
42448,175,1,0.01
42449,175,1,0.01
42455,175,4,0.02
42457,175,11,0.06
42459,175,4,0.02
42472,175,2,0.01
42479,175,5,0.03
42483,175,1,0.01
42490,175,7,0.04
42491,175,8,0.05
42492,175,6,0.03
42496,175,5,0.03
42497,175,8,0.05
42498,175,5,0.03
42499,175,8,0.05
42500,175,1,0.01
42501,175,3,0.02
42503,175,1,0.01
42504,175,5,0.03
42505,175,5,0.03
42519,175,1,0.01
42520,175,1,0.01
42541,50,1,0.02
42542,50,5,0.10
42543,50,3,0.06
42544,50,3,0.06
42553,50,3,0.06
42554,50,3,0.06
42555,50,3,0.06
42558,50,1,0.02
42560,50,1,0.02
42561,50,1,0.02
42578,50,2,0.04
42579,50,2,0.04
42597,164,4,0.02
42602,164,1,0.01
42603,164,4,0.02
42604,164,4,0.02
42605,164,3,0.02
42606,164,3,0.02
42607,164,3,0.02
42608,164,3,0.02
42609,164,3,0.02
42616,164,2,0.01
42617,164,2,0.01
42624,164,5,0.03
42626,164,2,0.01
42630,164,5,0.03
42631,164,10,0.06
42633,164,7,0.04
42643,164,12,0.07
42644,164,12,0.07
42652,164,5,0.03
42670,164,7,0.04
42671,164,7,0.04
42674,164,7,0.04
42681,164,2,0.01
42682,164,2,0.01
42687,164,5,0.03
42690,164,10,0.06
42691,164,1,0.01
42733,164,2,0.01
42734,164,1,0.01
42737,164,2,0.01
42738,164,3,0.02
42739,164,3,0.02
42740,164,2,0.01
42742,164,1,0.01
42745,164,2,0.01
42746,164,6,0.04
42747,164,4,0.02
42748,164,1,0.01
42755,164,2,0.01
42756,164,2,0.01
42757,164,9,0.05
42782,79,6,0.08
42783,79,2,0.03
42784,79,1,0.01
42785,79,1,0.01
42786,79,1,0.01
42804,79,1,0.01
42805,79,1,0.01
42818,79,2,0.03
42822,79,1,0.01
42825,79,3,0.04
42826,79,4,0.05
42831,79,1,0.01
42832,79,2,0.03
42862,50,1,0.02
42868,50,5,0.10
42877,50,1,0.02
42878,50,1,0.02
42879,50,2,0.04
42894,50,2,0.04
42895,50,2,0.04
42896,50,1,0.02
42897,50,1,0.02
42903,50,1,0.02
42910,50,1,0.02
42930,63,1,0.02
42931,63,1,0.02
42937,63,2,0.03
42938,63,2,0.03
42940,63,3,0.05
42941,63,3,0.05
42943,63,1,0.02
42944,63,3,0.05
42945,63,3,0.05
42953,63,3,0.05
42960,63,2,0.03
42961,63,2,0.03
42962,63,2,0.03
42963,63,2,0.03
