change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
42250,2,0.5,1,0,0,0,0
42251,1,0,1,0,0,0,0
42252,2,0.5,1,0,0,0,0
42253,3,0,1,0,0,0,0
42312,1,0,0,0,0,1,0
42313,1,0,0,0,0,1,0
42318,1,0,0,1,1,1,0
42323,1,0,0,1,1,1,0
42338,3,0.67,0.33,1,0,0,0.67
42339,6,0.67,0,1,0.67,0.67,0.67
42340,6,0,0,1,0.67,0.67,0
42346,2,0,1,0,0,0,0
42355,4,0.5,1,0,0.5,0.5,0
42356,2,1,0,0,1,1,0
42357,4,0.5,0.75,0,0.5,0.5,0
42358,4,0.5,0.75,0,0.5,0.5,0
42384,3,0.67,0.33,1,0,0,0.67
42385,6,0.67,0,1,0.67,0.67,0.67
42386,6,0,0,1,0.67,0.67,0
42395,2,0,1,0,0,0,0
42396,2,0,1,0,0,0,0
42397,2,0,1,0,0,0,0
42430,3,0,1,0,0,0,0
42431,3,0,1,0,0,0,0
42435,4,0,1,0,0,0,0
42436,4,0,1,0,0,0,0
42442,4,0.5,0,1,0,0,0.5
42443,4,0.5,0,1,1,1,0.5
42444,4,0,0,1,1,1,0
42475,1,0,1,0,0,0,0
42479,1,0,1,0,0,0,0
42492,2,0,0,0,1,1,0
42493,2,1,0,0,1,1,0
42494,2,1,0,0,1,1,0
42495,3,0.67,0,0,1,1,0
42496,3,0.67,0,0,1,1,0
42525,1,1,0,0,1,1,0
42526,1,1,0,0,1,1,0
42553,1,0,0,0,0,1,0
42554,1,0,0,0,0,1,0
42556,12,1,0,1,0.42,0.42,1
42557,12,1,0,1,0.42,0.42,1
42558,12,1,0,1,0.42,0.42,1
42559,12,1,0,1,0.42,0.42,1
42560,12,1,0,1,0.42,0.42,1
42561,12,1,0,1,0,0,1
42562,12,1,0.17,1,0,0,1
42563,12,1,0.17,1,0.08,0.08,1
42564,12,1,0,1,0,0,1
42565,12,1,0,1,0,0,1
42566,12,1,0,1,0.08,0.08,1
42567,12,1,0.08,1,0.08,0.08,1
42569,12,1,0,1,0.42,0.42,1
42570,13,0.92,0,0.92,0.38,0.46,0.92
42571,13,0.92,0,0.92,0.38,0.46,0.92
42572,13,0.92,0,0.92,0.38,0.46,0.92
42573,15,0.8,0,0.8,0.33,0.53,0.8
42574,12,1,0,1,0,0,1
42575,12,1,0.17,1,0,0,1
42576,12,1,0.17,1,0.08,0.08,1
42577,12,1,0,1,0,0,1
42578,12,1,0,1,0,0,1
42579,12,1,0,1,0.08,0.08,1
42580,12,1,0.08,1,0.08,0.08,1
42644,1,1,0,1,0,0,1
42658,1,0,1,0,0,0,0
42659,1,0,1,0,0,0,0
42669,2,0,1,0,0,0,0
42678,1,0,1,0,0,0,0
42679,2,0,1,0,0,0,0
42681,1,1,0,1,0,0,1
42699,2,0,1,0,0,0,0
42707,1,0,1,0,0,0,0
42714,1,0,1,0,0,0,0
42749,2,0,1,0,0,0,0
42750,1,0,1,0,0,0,0
42751,1,0,1,0,0,0,0
42757,2,1,0,0,1,1,0
42758,2,1,0,0,1,1,0
42759,3,0.67,0.33,0,0.67,0.67,0
42760,2,1,0,0,1,1,0
42765,3,0,1,0,0,0,0
42769,1,0,1,0,0,0,0
42780,1,0,1,0,0,0,0
42785,1,0,1,0,0,0,0
42786,1,0,1,0,0,0,0
42787,1,0,1,0,0,0,0
42788,2,0,0,0,0,1,0
42792,3,0,1,0,0,0,0
42811,2,1,0,1,0,0,1
42812,2,1,0.5,1,0.5,0.5,1
42814,2,1,0,1,0,0,1
42815,2,1,0.5,1,0.5,0.5,1
42829,2,1,0,0,0,0,0
42830,2,1,0,0,0,0,0
42831,2,1,0,0,0,0,0
42832,2,1,0,0,0,0,0
42862,1,0,0,0,0,1,0
42891,3,1,0,0,0,0,0
