,,Detection Recall,,,,,
change_id,num_cloned_cochange,conqat,deckard,iclones,nicad5,simcad,simian
42260,1,0,1,0,0,0,0
42262,1,0,1,0,0,0,0
42266,3,0,1,0,0,0,0
42267,3,0,1,0,0,0,0
42268,3,0,1,0,0,0,0
42271,7,0,1,0,0,0,0
42273,5,0,1,0,0,0,0
42290,1,0,1,0,0,0,0
42293,6,0,1,0,0,0,0
42295,2,0,1,0,0,0,0
42331,3,0,1,0,0,0,0
42332,2,0,1,0,0,0,0
42336,3,0,1,0,0,0,0
42337,3,0,1,0,0,0,0
42349,3,0,1,0,0,0,0
42351,1,0,1,0,0,0,0
42352,1,0,1,0,0,0,0
42353,1,0,1,0,0,0,0
42359,5,1,0,0,0,0,0
42376,10,0,1,0,0,0,0
42380,2,0,1,0,0,0,0
42384,1,1,1,0,1,0,0
42385,1,1,1,0,1,0,0
42388,1,0,0,0,1,0,0
42389,1,0,0,0,1,0,0
42398,1,0,1,0,0,0,0
42408,2,0,1,0,0,0,0
42422,1,0,1,0,0,0,0
42447,6,0,1,0,0,0,0
42448,1,0,1,0,0,0,0
42449,1,0,1,0,0,0,0
42455,4,0,1,0,0,0,0
42457,11,0,1,0,0,0,0
42459,4,0,1,0,0,0,0
42472,2,1,0,0,0,0,0
42479,5,1,0,0,0,0,0
42483,1,0,1,0,0,0,0
42490,7,0,1,0,0,0,0
42491,8,0,1,0,0,0,0
42492,6,0,1,0,0,0,0
42496,5,0.8,0.2,0,0,0,0
42497,8,0,1,0,0,0,0
42498,5,0.8,0.4,0.2,0,0,0
42499,8,0,1,0,0,0,0
42500,1,0,1,0,0,0,0
42501,3,0,1,0,0,0,0
42503,1,0,1,0,0,0,0
42504,5,0.8,0.4,0.2,0,0,0
42505,5,0,1,0,0,0,0
42519,1,0,1,0,0,0,0
42520,1,0,1,0,0,0,0
42541,1,0,1,0,0,0,0
42542,5,0,1,0,0,0,0
42543,3,0,1,0,0,0,0
42544,3,0,1,0,0,0,0
42553,3,0,1,0,0,0,0
42554,3,0,1,0,0,0,0
42555,3,0,1,0,0,0,0
42558,1,0,0,0,0,1,0
42560,1,0,0,0,0,1,0
42561,1,0,0,0,0,1,0
42578,2,0,1,0,0,0,0
42579,2,0,1,0,0,0,0
42597,4,0,1,0,0,0,0
42602,1,0,1,0,0,0,0
42603,4,0,1,0,0,0,0
42604,4,0,1,0,0,0,0
42605,3,0,1,0,0,0,0
42606,3,0,1,0,0,0,0
42607,3,0,1,0,0,0,0
42608,3,0,1,0,0,0,0
42609,3,0,1,0,0,0,0
42616,2,0,1,0,0,0,0
42617,2,0,1,0,0,0,0
42624,5,0,1,0,0,0,0
42626,2,0,1,0,0,0,0
42630,5,0,1,0,0,0,0
42631,10,0,1,0,0,0,0
42633,7,0,1,0,0,0,0
42643,12,0,1,0,0,0,0
42644,12,0,1,0,0,0,0
42652,5,0,1,0,0,0,0
42670,7,0.14,1,0.14,0,0.14,0
42671,7,0.14,1,0.14,0,0.14,0
42674,7,0,1,0,0,0,0
42681,2,0,1,0,0,0,0
42682,2,0,1,0,0,0,0
42687,5,0,1,0,0,0,0
42690,10,0,1,0,0,0,0
42691,1,0,1,0,0,0,0
42733,2,0,1,0,0,0,0
42734,1,1,0,1,1,0,0
42737,2,0,1,0,1,0.5,0
42738,3,0,0.67,0,0.67,0,0
42739,3,0,1,0,0,0,0
42740,2,0,0.5,0,1,0.5,0
42742,1,0,1,0,0,0,0
42745,2,0,1,0,0,0,0
42746,6,0,1,0,0,0,0
42747,4,0,1,0,0,0,0
42748,1,1,0,1,1,0,0
42755,2,0,1,0,0,0,0
42756,2,0,1,0,0,0,0
42757,9,0,1,0,0,0,0
42782,6,0.17,0.33,0.17,0.17,0.67,0.17
42783,2,0.5,0.5,0.5,0.5,0.5,0.5
42784,1,0,0,0,0,1,0
42785,1,0,0,0,0,1,0
42786,1,0,0,0,0,1,0
42804,1,0,1,0,0,0,0
42805,1,0,1,0,0,0,0
42818,2,0,1,0,0,0,0
42822,1,0,1,0,0,0,0
42825,3,0,1,0,0,0,0
42826,4,0,1,0,0,0,0
42831,1,0,1,0,0,0,0
42832,2,0,0.5,0,0,0.5,0
42862,1,0,1,0,0,0,0
42868,5,0,1,0,0,0,0
42877,1,0,0,1,0,0,1
42878,1,0,0,1,0,0,1
42879,2,0,0,1,0,0,1
42894,2,0,1,0,0,0,0
42895,2,0,1,0,0,0,0
42896,1,0,0,0,1,0,0
42897,1,0,0,0,1,0,0
42903,1,0,1,0,0,0,0
42910,1,0,1,0,0,0,0
42930,1,0,1,0,0,0,0
42931,1,0,1,0,0,0,0
42937,2,0,1,0,0,0,0
42938,2,0,1,0,0,0,0
42940,3,0,1,0,0,0,0
42941,3,0,1,0,0,0,0
42943,1,0,1,0,0,0,0
42944,3,0,1,0,0,0,0
42945,3,0,1,0,0,0,0
42953,3,0,1,0,0,0,0
42960,2,0,1,0,0,0,0
42961,2,0,1,0,0,0,0
42962,2,0,1,0,0,0,0
42963,2,0,1,0,0,0,0
42964,2,0,1,0,0,0,0
42971,3,0,1,0,0,0,0
42972,3,0,1,0,0,0,0
42975,2,0,1,0,0,0,0
42981,4,0,1,0,0,0,0
42992,1,0,1,0,0,0,0
42993,1,0,1,0,0,0,0
42994,1,0,1,0,0,0,0
42995,1,0,1,0,0,0,0
42996,5,0,0,1,1,1,0
42997,5,0.8,0,1,1,1,0.8
42998,5,0.8,0,1,1,1,0.8
42999,5,0.8,0,1,1,1,0.8
43000,5,0.8,0,1,1,1,0.8
43001,5,0,0,1,1,1,0
43002,5,0.8,0,1,1,1,0.8
43003,5,0.8,0,1,1,1,0.8
43004,5,0.8,0,1,1,1,0.8
43005,5,0.8,0,1,1,1,0.8
43022,2,1,0.5,1,1,1,1
43023,2,1,0,1,1,1,1
43024,2,1,0.5,1,1,1,1
43025,2,1,0,1,1,1,1
43043,2,0,1,0,0,0,0
43053,1,0,1,0,0,0,0
43055,2,0,1,0,0,0,0
43057,2,0,1,0,0,0,0
43063,1,0,1,0,0,0,0
43066,4,0,1,0,0,0,0
43067,3,0,1,0,0,0,0
43068,3,0,1,0,0,0,0
43069,6,0,1,0,0,0,0
43087,1,0,1,1,0,0,0
43090,1,0,1,1,0,0,0
43095,6,0,1,0,0,0,0
43099,6,0,1,0,0,0,0
43100,4,0,1,0,0,0,0
43102,4,0,0,0,0,1,0
43108,8,0,1,0,0,0,0
43122,6,0,1,0,0,0,0
43123,6,0,1,0,0,0.33,0
43124,6,0,1,0,0,0.33,0
43125,3,0,1,0,0,0,0
43126,7,0,1,0,0,0.43,0
43127,7,0,1,0,0,0,0
43128,3,0,0,0,0,1,0
43130,1,0,0,0,0,1,0
43131,2,0,0.5,0,0,0.5,0
43132,2,0,0.5,0,0,0.5,0
43133,1,0,1,0,0,0,0
43134,7,0,1,0,0,0,0
43135,7,0,1,0,0,0,0
43136,6,0,1,0,0,0,0
43141,3,0,1,0,0,0,0
43142,1,0,1,0,0,0,0
43145,1,0,1,0,0,0,0
43147,9,0,1,0,0,0,0
43149,11,0,1,0,0,0,0
43151,3,0,1,0,0,0,0
43152,3,0,1,0,0,0,0
43153,6,0,1,0,0,0,0
43154,6,0,1,0,0,0,0
43156,2,0,1,0,0,0,0
43157,2,0,1,0,0,0,0
43158,2,0,1,0,0,0,0
43170,7,0,0.86,0,0,0.14,0
43171,7,0,0.86,0,0,0.14,0
