change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
38726,1,0,1,0,1,0,0
38727,1,0,1,0,1,0,0
38767,1,0,0,0,1,0,0
38768,1,0,0,0,1,0,0
38779,3,0,1,0,0,0,0
38780,3,0,1,0,0,0,0
38781,3,0,1,0,0,0,0
38782,3,0,1,0,0,0,0
38786,4,0,1,0,0,0,0
38787,4,0,1,0,0,0,0
38788,4,0,1,0,0,0,0
38794,12,0,1,0,0,0,0
38795,12,0,1,0,0,0,0
38796,12,0,1,0,0,0,0
38797,12,0,1,0,0,0,0
38798,10,0,1,0,0,0,0
38799,15,0,1,0,0,0,0
38813,17,0,1,0,0,0,0
38814,4,0,1,0,0,0,0
38815,2,0,1,0,0,0,0
38816,5,0,0.6,0,0.4,0,0
38820,3,0,1,0,0,0,0
38823,4,0,1,0,0,0,0
38824,4,0,1,0,0,0,0
38826,3,0,1,0,0,0,0
38827,3,0,1,0,0,0,0
38828,3,0,1,0,0,0,0
38830,5,0,1,0,0,0,0
38831,17,0,1,0,0,0,0
38832,17,0,1,0,0,0,0
38833,16,0,1,0,0,0,0
38834,15,0,1,0,0,0,0
38835,8,0,1,0,0,0,0
38836,15,0,1,0,0,0,0
38837,16,0,0.94,0,0.06,0,0
38838,12,0,0.92,0,0.08,0,0
38839,15,0,1,0,0,0,0
38840,15,0,1,0,0,0,0
38841,8,0,1,0,0,0,0
38842,3,0,1,0,0,0,0
38843,3,0,1,0,0,0,0
38844,9,0,0.33,0,0.67,0,0
38845,6,0,0,0,1,0,0
38846,6,0,0,0,1,0,0
38847,6,0,0,0,1,0,0
38848,6,0,0,0,1,0,0
38849,6,0,0,0,1,0,0
38850,6,0,0,0,1,0,0
38851,6,0,0,0,1,0,0
38876,5,0,1,0,0,0,0
38877,5,0,1,0,0,0,0
38881,5,0,1,0,0,0,0
38882,5,0,1,0,0,0,0
38883,2,0,1,0,0,0,0
38884,5,0,1,0,0,0,0
38885,5,0,1,0,0,0,0
38890,5,0,1,0,0,0,0
38891,3,0,1,0,0,0,0
38892,2,0,1,0,0,0,0
38893,4,0,1,0,0,0,0
38894,3,0,1,0,0,0,0
38895,3,0,1,0,0,0,0
38951,2,0,0,0,0,0,1
38954,2,0,0,0,0,0,1
38955,2,0,0,0,0,0,1
38987,1,0,0,0,1,0,0
38988,1,0,0,0,1,0,0
38997,2,0,0,0,0.5,0.5,0
38998,1,0,0,0,1,0,0
39001,1,0,0,0,1,0,0
39002,1,0,0,0,1,0,0
39008,2,0,0,0,1,0,0
39009,1,0,0,0,0,1,0
39024,1,0,0,0,1,0,0
39025,1,0,0,0,1,0,0
39033,1,0,0,0,1,0,0
39037,6,0,0,0,1,0,0
39038,6,0,0,0,1,0,0
39039,6,0,0,0,1,0,0
39040,5,0,0,0,1,0,0
39041,7,0,0,0,1,0,0
39042,7,0,0,0,1,0,0
39043,7,0,0,0,1,0,0
39044,4,0,0,0,1,1,0
39046,5,0,0,0,1,0,0
39047,5,0,0,0,1,0,0
39049,1,0,0,0,1,0,0
39051,9,0,0,0,1,0,0
39052,9,0,0,0,1,0,0
39053,2,0,0,0,0,1,0
39054,1,0,0,0,1,1,0
39055,1,0,0,0,1,1,0
39056,2,0,0,0,0.5,1,0
39057,2,0,0,0,0.5,1,0
39061,2,0,0,0,0,1,0
39065,6,0,0.83,0,0.5,0.5,0
39066,5,0.4,0.8,0.6,0.6,0.6,0
39067,5,0.4,0.6,0.6,0.6,0.6,0
39068,6,0,0.5,0.5,0.5,0.5,0
39069,4,0.5,0.75,0.75,0.75,0.75,0
39070,4,0.5,0,0.75,0.75,0.75,0
39071,5,0,0.4,0.6,0.2,0.2,0
39072,1,0,0,0,1,1,0
39073,1,0,1,0,1,1,0
39075,1,0,1,0,1,1,0
39098,2,0,0,0,1,0,0
39099,1,0,0,0,1,0,0
39100,1,0,0,0,1,0,0
39225,2,0,0,0,0,1,0
39226,2,0,0,0,0,1,0
39230,2,0,0,0,0,1,0
39231,2,0,0,0,0,1,0
39257,3,0,1,0,0,0,0
39260,3,0,1,0,0,0,0
39265,9,0,1,0,0,0,0
39266,9,0,1,0,0,0,0
39267,4,0,1,0,0,0,0
39268,4,0,1,0,0,0,0
39269,4,0,1,0,0,0,0
39270,9,0,1,0,0,0,0
39271,9,0,1,0,0,0,0
39272,7,0,1,0,0,0,0
39273,7,0,1,0,0,0,0
39274,7,0,1,0,0,0,0
39275,8,0,1,0,0,0,0
39308,1,0,0,0,0,0,1
39309,1,0,0,0,0,0,1
39316,1,0,1,0,0,0,0
39342,1,0,0,0,0,0,1
39344,1,0,0,0,0,0,1
39396,1,0,1,0,0,0,0
39404,1,1,0,0,0,0,1
39405,1,1,0,0,0,0,1
39414,3,1,0,1,1,0,1
39415,4,0.75,0.75,0.75,0.75,0,0.75
39416,2,0,1,0,0,0,0
39417,3,1,0.67,1,1,0,1
39418,3,1,0.67,1,1,0,1
39580,1,0,0,0,1,0,0
39581,1,0,0,0,1,0,0
