change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
54026,1,1,1,0,1,1,0
54027,1,1,1,0,1,1,0
54049,1,0,1,0,0,0,0
54050,1,0,1,0,0,0,0
54059,1,0,1,0,0,0,0
54060,1,0,1,0,0,0,0
54073,2,0,1,0,0,0,0
54076,1,0,1,0,0,0,0
54077,1,0,1,0,0,0,0
54087,1,0,1,0,0,0,0
54093,1,0,1,0,0,0,0
54135,1,0,1,0,0,0,0
54136,1,0,1,0,0,0,0
54138,1,0,1,0,0,0,0
54141,1,0,1,0,0,0,0
54146,1,0,1,0,0,0,0
54151,1,0,1,0,0,0,0
54157,3,0,1,0,0,0,0
54223,2,0,1,0,0,0,0
54224,2,0,1,0,0,0,0
54225,2,0,1,0,0,0,0
54226,3,0.67,0.33,0.67,0,0,0.33
54227,6,0,1,0,0,0,0
54228,4,0,1,0,0,0,0
54231,1,1,0,1,0,0,1
54232,1,1,0,1,0,0,0
54234,4,0,1,0,0,0,0
54235,4,0,1,0,0,0,0
54236,5,0,1,0,0,0.2,0
54237,3,0,1,0,0,0,0
54244,1,0,1,0,0,0,0
54245,1,0,1,0,0,0,0
54246,1,0,1,0,0,0,0
54252,1,0,1,0,0,0,0
54253,1,0,1,0,0,0,0
54256,1,0,1,0,0,0,0
54257,6,0,1,0,0,0,0
54304,1,0,1,0,0,0,0
54309,1,0,1,0,0,0,0
54345,4,0,0,0,0,1,0
54346,5,0,0,0,0,1,0
54347,5,0,0,0,0,1,0
54348,6,0,0,0,0,1,0
54350,6,0,0,0,0,1,0
54352,6,0,0,0,0,1,0
54354,6,0,0,0,0,1,0
54414,1,0,1,0,0,0,0
54428,1,1,0,1,1,1,1
54429,1,1,0,1,1,1,0
54430,2,1,0,1,1,1,0.5
54433,3,0,1,0,0,0,0
54434,3,0,1,0,0,0,0
54438,7,0,1,0,0,0,0
54443,1,1,0,0,0,0,0
54446,1,0,1,0,0,0,0
54447,2,0.5,0.5,0,0,0,0
54449,5,0,1,0,0,0,0
54450,4,0,1,0,0,0,0
54451,1,1,0,1,0,0,1
54452,1,1,0,1,0,0,1
54454,2,0,1,0,0,1,1
54455,2,0,1,0,0,1,1
54456,1,1,0,0,1,1,0
54458,2,0,1,0,0,1,1
54459,2,0,1,0,0,1,1
54460,4,0.25,0.75,0,0.25,0.25,0
54472,1,0,1,0,0,0,0
54473,1,0,1,0,0,0,0
54479,2,0,1,0,0,0,0
54482,1,0,1,0,0,0,0
54504,1,1,0,1,0,0,1
54505,1,1,0,1,0,0,1
54509,1,0,0,0,0,1,0
54544,2,1,0,0,1,0,0
54545,2,1,0,0,1,0,0
54546,10,0.2,0.8,0,0.2,0,0
54547,2,1,0,0,1,0,0
54550,2,0,1,0,0,0,0
54553,1,1,0,0,0,0,0
54554,8,0.13,1,0,0,0,0
54556,8,0,1,0,0,0,0
54557,9,0.22,0.89,0,0,0,0
54558,7,0,1,0,0,0,0
54559,7,0,1,0,0,0,0
54561,6,0,1,0,0,0,0
54562,6,0,1,0,0,0,0
54565,4,0,1,0,0,0,0
54572,2,0,0,0,1,0.5,0
54573,2,0,0,0,1,0.5,0
54574,2,0,0,0,1,0,0
54645,2,0,1,0,0,0,0
54648,1,0,1,0,0,0,0
54649,1,0,1,0,0,0,0
54671,2,0.5,1,0.5,0.5,0.5,0.5
54672,2,0,1,0,0,0,0
54673,2,0.5,1,0.5,0.5,0.5,0.5
54709,1,0,1,0,0,0,0
54711,1,0,1,0,0,0,0
54742,3,0,1,0,0,0,0
54750,1,0,1,0,0,0,0
54753,4,0,1,0,0,0,0
54755,2,0,1,0,0,0,0
54756,2,0,1,0,0,0,0
54760,1,0,1,0,0,0,0
54762,1,0,1,0,0,0,0
54772,1,0,1,0,0,0,0
54773,1,0,1,0,0,0,0
54789,2,0,0.5,0.5,0.5,0.5,0
54790,1,0,0,1,1,1,0
54799,2,0,1,0,0,0,0
54800,2,0,1,0,0,0,0
