subject_system,clone_detector,num_files,total_unique_lines,average_unique_lines
brlcad,ccfinder,88,11273,
brlcad,cloneworks_type1,94,6019,
brlcad,cloneworks_type2blind,113,8679,
brlcad,cloneworks_type3pattern,124,15634,
brlcad,cloneworks_type3token,115,12731,
brlcad,conqat,98,12631,
brlcad,deckard_2_0,96,9952,
brlcad,duplo,57,8771,
brlcad,iclones,77,10138,
brlcad,nicad5,65,7225,
brlcad,simcad,94,9618,
brlcad,simian,83,9655,
camellia,ccfinder,52,7590,
camellia,cloneworks_type1,24,2019,
camellia,cloneworks_type2blind,26,3092,
camellia,cloneworks_type3pattern,27,5289,
camellia,cloneworks_type3token,27,5612,
camellia,conqat,44,6754,
camellia,deckard_2_0,49,25077,
camellia,duplo,0,0,
camellia,iclones,49,6482,
camellia,nicad5,16,3793,
camellia,simcad,24,3774,
camellia,simian,0,0,
carol,ccfinder,110,7205,
carol,cloneworks_type1,248,5686,
carol,cloneworks_type2blind,291,12221,
carol,cloneworks_type3pattern,293,16234,
carol,cloneworks_type3token,265,10413,
carol,conqat,117,5536,
carol,deckard_2_0,278,6348,
carol,duplo,70,3487,
carol,iclones,64,3542,
carol,nicad5,95,4892,
carol,simcad,154,6600,
carol,simian,104,5079,
ctags,ccfinder,39,3084,
ctags,cloneworks_type1,26,1185,
ctags,cloneworks_type2blind,44,2393,
ctags,cloneworks_type3pattern,50,4931,
ctags,cloneworks_type3token,44,3847,
ctags,conqat,51,4211,
ctags,deckard_2_0,29,3120,
ctags,duplo,7,1237,
ctags,iclones,21,2147,
ctags,nicad5,43,3848,
ctags,simcad,10,910,
ctags,simian,0,0,
freecol,ccfinder,187,11832,
freecol,cloneworks_type1,257,9105,
freecol,cloneworks_type2blind,282,18286,
freecol,cloneworks_type3pattern,288,26711,
freecol,cloneworks_type3token,270,17675,
freecol,conqat,175,12302,
freecol,deckard_2_0,283,6673,
freecol,duplo,67,5793,
freecol,iclones,124,5881,
freecol,nicad5,133,7909,
freecol,simcad,196,15200,
freecol,simian,161,6713,
jabref,ccfinder,154,7930,
jabref,cloneworks_type1,256,4531,
jabref,cloneworks_type2blind,331,12564,
jabref,cloneworks_type3pattern,340,21992,
jabref,cloneworks_type3token,296,13407,
jabref,conqat,201,9919,
jabref,deckard_2_0,307,22559,
jabref,duplo,61,3707,
jabref,iclones,115,4505,
jabref,nicad5,119,4744,
jabref,simcad,195,8870,
jabref,simian,134,4396,
jedit,ccfinder,12,419,
jedit,cloneworks_type1,287,46014,
jedit,cloneworks_type2blind,287,47181,
jedit,cloneworks_type3pattern,288,46469,
jedit,cloneworks_type3token,285,47451,
jedit,conqat,229,38551,
jedit,deckard_2_0,249,26067,
jedit,duplo,0,0,
jedit,iclones,244,50328,
jedit,nicad5,215,43175,
jedit,simcad,244,40814,
jedit,simian,289,84630,
qmailadmin,ccfinder,9,692,
qmailadmin,cloneworks_type1,11,396,
qmailadmin,cloneworks_type2blind,12,717,
qmailadmin,cloneworks_type3pattern,13,1318,
qmailadmin,cloneworks_type3token,13,1034,
qmailadmin,conqat,11,903,
qmailadmin,deckard_2_0,11,1704,
qmailadmin,duplo,9,143,
qmailadmin,iclones,7,331,
qmailadmin,nicad5,6,137,
qmailadmin,simcad,8,236,
qmailadmin,simian,9,294,
