Feature Sets 1,Feature Sets 2,w,p,Result (p<0.5),,,,,,,,,,,
CCFinder,CLW(T1),0,0.01,s,,,Target,,,,,,,,
CCFinder,CLW(T2Blind),9,0.206462587,-1,,,,,,,,,,,
CCFinder,CLW(T3Pattern),3,0.04,s,,,CLW(T3Pattern),CLW(T3Token),CCFinder,ConQAT,Duplo,iClones,Nicad,SimCAD,Simian
CCFinder,CLW(T3Token),5.5,0.079688026,-1,,,,,,,,,,,
CCFinder,ConQAT,1.5,0.02,s,,,,,,,,,,,
CCFinder,Deckard,9,0.206462587,-1,,,,,,,,,,,
CCFinder,Duplo,0,0.01,s,,,,,,,,,,,
CCFinder,iClones,0,0.01,s,,,,,,,,,,,
CCFinder,Nicad,6,0.09128957,-1,,,,,,,,,,,
CCFinder,SimCAD,0,0.01,s,,,,,,,,,,,
CCFinder,Simian,0,0.01,s,,,,,,,,,,,
CLW(T1),CLW(T2Blind),0,0.01,s,,,,,,,,,,,
CLW(T1),CLW(T3Pattern),0,0.01,s,,,,,,,,,,,
CLW(T1),CLW(T3Token),0,0.01,s,,,,,,,,,,,
CLW(T1),ConQAT,1,0.02,s,,,,,,,,,,,
CLW(T1),Deckard,0,0.01,s,,,,,,,,,,,
CLW(T1),Duplo,3,0.06110093,-1,,,,,,,,,,,
CLW(T1),iClones,1,0.03,s,,,,,,,,,,,
CLW(T1),Nicad,6,0.092891941,-1,,,,,,,,,,,
CLW(T1),SimCAD,1,0.02,s,,,,,,,,,,,
CLW(T1),Simian,4,0.172954918,-1,,,,,,,,,,,
CLW(T2Blind),CLW(T3Pattern),0,0.01,s,,,,,,,,,,,
CLW(T2Blind),CLW(T3Token),0,0.01,s,,,,,,,,,,,
CLW(T2Blind),ConQAT,10,0.916282441,-1,,,,,,,,,,,
CLW(T2Blind),Deckard,1.5,0.02,s,,,,,,,,,,,
CLW(T2Blind),Duplo,0,0.01,s,,,,,,,,,,,
CLW(T2Blind),iClones,13,0.483839851,-1,,,,,,,,,,,
CLW(T2Blind),Nicad,11,0.326395777,-1,,,,,,,,,,,
CLW(T2Blind),SimCAD,4,0.089814344,-1,,,,,,,,,,,
CLW(T2Blind),Simian,12,0.400236144,-1,,,,,,,,,,,
CLW(T3Pattern),CLW(T3Token),2,0.02,s,,,,,,,,,,,
CLW(T3Pattern),ConQAT,0,0.01,s,,,,,,,,,,,
CLW(T3Pattern),Deckard,12.5,0.440647897,-1,,,,,,,,,,,
CLW(T3Pattern),Duplo,0,0.01,s,,,,,,,,,,,
CLW(T3Pattern),iClones,0,0.01,s,,,,,,,,,,,
CLW(T3Pattern),Nicad,0,0.01,s,,,,,,,,,,,
CLW(T3Pattern),SimCAD,0,0.01,s,,,,,,,,,,,
CLW(T3Pattern),Simian,0,0.02,s,,,,,,,,,,,
CLW(T3Token),ConQAT,1,0.02,s,,,,,,,,,,,
CLW(T3Token),Deckard,15,0.674424072,-1,,,,,,,,,,,
CLW(T3Token),Duplo,0,0.01,s,,,,,,,,,,,
CLW(T3Token),iClones,0,0.01,s,,,,,,,,,,,
CLW(T3Token),Nicad,0,0.01,s,,,,,,,,,,,
CLW(T3Token),SimCAD,0,0.01,s,,,,,,,,,,,
CLW(T3Token),Simian,0,0.01,s,,,,,,,,,,,
ConQAT,Deckard,3,0.062979051,-1,,,,,,,,,,,
ConQAT,Duplo,0,0.01,s,,,,,,,,,,,
ConQAT,iClones,7,0.123025194,-1,,,,,,,,,,,
ConQAT,Nicad,13.5,0.528106125,-1,,,,,,,,,,,
ConQAT,SimCAD,7.5,0.139036939,-1,,,,,,,,,,,
ConQAT,Simian,7.5,0.140505541,-1,,,,,,,,,,,
Deckard,Duplo,0,0.01,s,,,,,,,,,,,
Deckard,iClones,3,0.04,s,,,,,,,,,,,
Deckard,Nicad,3.5,0.04,s,,,,,,,,,,,
Deckard,SimCAD,0,0.01,s,,,,,,,,,,,
Deckard,Simian,2,0.02,s,,,,,,,,,,,
Duplo,iClones,0,0.01,s,,,,,,,,,,,
Duplo,Nicad,0,0.02,s,,,,,,,,,,,
Duplo,SimCAD,0,0.01,s,,,,,,,,,,,
Duplo,Simian,0,0.01,s,,,,,,,,,,,
iClones,Nicad,18,1,-1,,,,,,,,,,,
iClones,SimCAD,11,0.61208988,-1,,,,,,,,,,,
iClones,Simian,7.5,0.270181096,-1,,,,,,,,,,,
Nicad,SimCAD,13.5,0.93252633,-1,,,,,,,,,,,
Nicad,Simian,17,0.888365699,-1,,,,,,,,,,,
SimCAD,Simian,17.5,0.944045426,-1,,,,,,,,,,,
,,,,,,,,,,,,,,,
