Tools/SS,Brlcad,Camellia,Carol,Ctags,Freecol,Jabref,jEdit,QMA
CCFinder,0.30,0.23,0.20,0.16,0.09,0.15,0.07,0.16
CLW(T1),0.09,0.04,0.06,0.03,0.03,0.05,0.04,0.11
CLW(T2Blind),0.13,0.07,0.22,0.12,0.08,0.13,0.08,0.17
CLW(T3Pattern),0.32,0.16,0.36,0.25,0.15,0.30,0.35,0.49
CLW(T3Token),0.27,0.18,0.29,0.24,0.11,0.20,0.20,0.42
ConQAT,0.28,0.10,0.12,0.15,0.08,0.12,0.08,0.08
Deckard,0.19,0.57,0.21,0.15,0.30,0.14,0.18,0.41
Duplo,0.12,0.01,0.03,0.03,0.01,0.02,0.00,0.00
iClones,0.26,0.15,0.08,0.08,0.03,0.09,0.05,0.10
Nicad,0.12,0.06,0.16,0.21,0.04,0.10,0.12,0.03
SimCAD,0.17,0.07,0.15,0.04,0.05,0.10,0.06,0.10
Simian,0.25,0.16,0.06,0.11,0.03,0.07,0.03,0.06
