"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"43",,,,,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75",,"49, 50, 51, 52, 53",,,,,
"44",,,,,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75",,"49, 50, 51, 52, 53",,,,,
"45",,,,,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75",,,,,,,
"46",,,,,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75",,,,,,,
"47",,,,,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75",,,,,,,
"48",,,,,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75",,,,,,,
"49",,,,,"43, 44, 45, 46, 47, 48",,"43, 44",,,,,
"50",,,,,"43, 44, 45, 46, 47, 48",,"43, 44",,,,,
"51",,,,,"43, 44, 45, 46, 47, 48",,"43, 44",,,,,
"52",,,,,"43, 44, 45, 46, 47, 48",,"43, 44",,,,,
"53",,,,,"43, 44, 45, 46, 47, 48",,"43, 44",,,,,
"54",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"55",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"56",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"57",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"58",,,,,"43, 44, 45, 46, 47, 48",,"63, 64, 65, 66, 67",,,,,
"59",,,,,"43, 44, 45, 46, 47, 48",,"63, 64, 65, 66, 67",,,,,
"60",,,,,"43, 44, 45, 46, 47, 48",,"63, 64, 65, 66, 67",,,,,
"61",,,,,"43, 44, 45, 46, 47, 48",,"63, 64, 65, 66, 67",,,,,
"62",,,,,"43, 44, 45, 46, 47, 48",,"63, 64, 65, 66, 67",,,,,
"63",,,,,"43, 44, 45, 46, 47, 48",,"58, 59, 60, 61, 62",,,,,
"64",,,,,"43, 44, 45, 46, 47, 48",,"58, 59, 60, 61, 62",,,,,
"65",,,,,"43, 44, 45, 46, 47, 48",,"58, 59, 60, 61, 62",,,,,
"66",,,,,"43, 44, 45, 46, 47, 48",,"58, 59, 60, 61, 62",,,,,
"67",,,,,"43, 44, 45, 46, 47, 48",,"58, 59, 60, 61, 62",,,,,
"68",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"69",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"70",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"71",,,,,"43, 44, 45, 46, 47, 48",,"94",,,,,
"72",,,,,"43, 44, 45, 46, 47, 48",,"94",,,,,
"73",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"74",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"75",,,,,"43, 44, 45, 46, 47, 48",,,,,,,
"78",,,,,,,"81, 84",,,,,
"79",,"82, 83, 85, 86","82, 83, 85, 86","82, 83, 85, 86","82, 83, 85, 86",,,,,,,
"80",,"82, 83, 85, 86","82, 83, 85, 86","82, 83, 85, 86","82, 83, 85, 86",,,,,,,
"81",,,,,,,"78, 84, 85, 86",,,,,
"82",,"79, 80, 85, 86","79, 80, 85, 86","79, 80, 85, 86","79, 80, 85, 86",,"84, 85, 86, 87, 88",,"85, 86",,"85, 86",
"83",,"79, 80, 85, 86","79, 80, 85, 86","79, 80, 85, 86","79, 80, 85, 86",,"84, 85, 86, 87, 88",,"85, 86",,"85, 86",
"84",,,,,,,"78, 81, 82, 83",,,,,
"85",,"79, 80, 82, 83","79, 80, 82, 83","79, 80, 82, 83","79, 80, 82, 83",,"81, 82, 83",,"82, 83",,"82, 83",
"86",,"79, 80, 82, 83","79, 80, 82, 83","79, 80, 82, 83","79, 80, 82, 83",,"81, 82, 83",,"82, 83",,"82, 83",
"87",,,,,,,"82, 83",,,,,
"88",,,,,,,"82, 83",,,,,
"92",,,,"93","93",,,,,,"93",
"93",,,,"92","92",,,,,,"92",
"94",,,,,,,"71, 72",,,,,
"125",,,,,,,"128, 129, 130, 131",,,,,
"126",,,,,,,"128, 129, 130, 131",,,,,
"127",,,,,,,"128, 129, 130, 131",,,,,
"128",,,"129","129","129",,"125, 126, 127, 129, 130, 131",,,,"129",
"129",,,"128","128","128",,"125, 126, 127, 128",,,,"128",
"130",,,,,,,"125, 126, 127, 128",,,,,
"131",,,,,,,"125, 126, 127, 128",,,,,
"132",,,,,,,"159, 160, 161, 162",,,,,
"134",,,,,,,"140, 141, 142",,,,,
"137",,,,,,,"143",,,,,
"139",,,,,,,,,"155",,,
"140",,,,,,,"134",,,,,
"141",,,,,,,"134",,,,,
"142",,,,,,,"134",,,,,
"143",,,,,,,"137, 159",,,,,
"145",,,,,,,,,,,,"148"
"148",,,,,,,,,,,,"145"
"153",,,,,,,"159, 161, 162",,,,,
"154",,,,,,,"159, 161, 162",,,,,
"155",,,,,,,,,"139",,,
"159",,,,"160, 161, 162","160, 161, 162",,"132, 143, 153, 154, 160, 161, 162",,"160, 161, 162",,"160, 161, 162","161, 162"
"160",,,,"159, 161, 162","159, 161, 162",,"132, 159, 161, 162",,"159, 161, 162",,"159, 161, 162","161, 162"
"161",,,,"159, 160, 162","159, 160, 162",,"132, 153, 154, 159, 160, 162",,"159, 160, 162",,"159, 160, 162","159, 160"
"162",,,,"159, 160, 161","159, 160, 161",,"132, 153, 154, 159, 160, 161",,"159, 160, 161",,"159, 160, 161","159, 160"
"163","166, 168, 169",,,"165, 166, 167, 168","165, 166, 167, 168",,"165, 166, 167, 168",,,,,
"164","166, 168",,,"165, 166, 167, 168","165, 166, 167, 168",,"165, 166, 167, 168",,,,,
"165",,,,"163, 164, 167, 168","163, 164, 167, 168",,"163, 164, 167, 168",,,,,
"166","163, 164, 168",,,"163, 164, 167, 168","163, 164, 167, 168",,"163, 164, 167, 168","168","168",,,"168"
"167",,,,"163, 164, 165, 166","163, 164, 165, 166",,"163, 164, 165, 166",,,,,
"168","163, 164, 166",,,"163, 164, 165, 166","163, 164, 165, 166",,"163, 164, 165, 166","166","166",,,"166"
"169","163",,,,,,,,,,,
"222",,,,"229",,,"228, 229, 230",,,,,
"224",,,,,,,"225, 269",,,,,
"225",,,,,,,"229, 230, 252, 256, 257, 258, 259, 260, 261, 271",,,,,
"226",,,,,,,"229, 230, 252, 256, 257, 258, 259, 260, 261, 271",,,,,
"227",,,,,,,"229, 230, 252, 256, 257, 258, 259, 260, 261, 271",,,,,
"228",,,,,,,"222, 231",,,,,
"229",,,,"222",,,"222, 225, 226, 227, 256, 257, 258, 259, 260, 261",,,,,
"230",,,,,,,"222, 225, 226, 227, 256, 257, 258, 259, 260, 261",,,,,
"231",,,,,,,"228",,,,,
"233",,,,,,,,,,,,"238, 243, 248"
"238",,,,,,,,,,,,"233, 243, 248"
"243",,,,,,,,,,,,"233, 238, 248"
"248",,,,,,,,,,,,"233, 238, 243"
"252","253, 254, 255, 256, 257, 258, 259, 260, 261",,,,,,"225, 226, 227, 253, 254, 255, 256, 257, 258, 259, 260, 261, 271",,,,,
"253","252, 254, 255, 256, 257, 258, 259, 260, 261",,,,,,"252, 254, 255, 256, 257, 258, 259, 260, 261",,,,,
"254","252, 253, 256, 257, 258, 259, 260, 261",,,,,,"252, 253, 255, 256, 257, 258, 259, 260, 261",,,,,
"255","252, 253, 254, 256, 257, 258, 259, 260, 261",,,,,,"252, 253, 254, 256, 257, 258, 259, 260, 261",,,,,
"256","252, 253, 254, 255, 259, 260, 261",,,,,,"225, 226, 227, 229, 230, 252, 253, 254, 255, 257, 258, 259, 260, 261, 271",,,,,
"257","252, 253, 254, 255, 259, 260, 261",,,,,,"225, 226, 227, 229, 230, 252, 253, 254, 255, 256, 258, 259, 260, 261, 271",,,,,
"258","252, 253, 254, 255, 259, 260, 261",,,,,,"225, 226, 227, 229, 230, 252, 253, 254, 255, 256, 257, 259, 260, 261, 271",,,,,
"259","252, 253, 254, 255, 256, 257, 258",,,,,,"225, 226, 227, 229, 230, 252, 253, 254, 255, 256, 257, 258, 260, 261, 271",,,,,
"260","252, 253, 254, 255, 256, 257, 258",,,,,,"225, 226, 227, 229, 230, 252, 253, 254, 255, 256, 257, 258, 259, 261, 271",,,,,
"261","252, 253, 254, 255, 256, 257, 258",,,,,,"225, 226, 227, 229, 230, 252, 253, 254, 255, 256, 257, 258, 259, 260, 271",,,,,
"266","271",,,"268","268",,,,,,,
"268","269","269","269","266, 269","266, 269",,"269",,"269",,"269","269"
"269","268","268","268","268","268",,"224, 268",,"268",,"268","268"
"271","266",,,,,,"225, 226, 227, 252, 256, 257, 258, 259, 260, 261",,,,,
"297",,,,,,,,,,,,"299, 301, 303, 306, 308, 311, 313, 319, 321, 323"
"298",,,,,,,,,,,,"302, 307, 312, 322"
"299",,,,,,,,,,,,"297, 301, 303, 306, 308, 311, 313, 319, 321, 323"
"301",,,,,,,,,,,,"297, 299, 303, 306, 308, 311, 313, 319, 321, 323"
"302",,,,,,,,,,,,"298, 307, 312, 322"
"303",,,,,,,,,,,,"297, 299, 301, 306, 308, 311, 313, 319, 321, 323"
"306",,,,,,,,,,,,"297, 299, 301, 303, 308, 311, 313, 319, 321, 323"
"307",,,,,,,,,,,,"298, 302, 312, 322"
"308",,,,,,,,,,,,"297, 299, 301, 303, 306, 311, 313, 319, 321, 323"
"311",,,,,,,,,,,,"297, 299, 301, 303, 306, 308, 313, 319, 321, 323"
"312",,,,,,,,,,,,"298, 302, 307, 322"
"313",,,,,,,,,,,,"297, 299, 301, 303, 306, 308, 311, 319, 321, 323"
"314","315, 316, 317",,,,,,"315, 316, 317",,,,,
"315","316, 317",,,,,,"314, 316, 317",,,,,
"316","314, 315",,,,,,"314, 315, 317",,,,,
"317","314, 315, 316",,,,,,"314, 315, 316",,,,,
"319",,,,,,,,,,,,"297, 299, 301, 303, 306, 308, 311, 313, 321, 323"
