"change_id","ccfinder","cloneworks","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"52027",,,,,,,,"52028",
"52029",,"52030, 52031, 52032",,,,,,,
"52030",,"52029, 52031, 52032",,,,,,,
"52031",,"52029, 52030, 52032",,,,,,,
"52032",,"52029, 52030, 52031",,,,,,,
"52033",,"52034",,,,,,,
"52034",,"52033",,,,,,,
"52035",,"52036",,,,,,,
"52036",,"52035",,,,,,,
"52045",,"52046",,,,,,,
"52046",,"52045",,,,,,,
"52056","52057",,,,,,,,
"52064",,"52066, 52068, 52070",,,,,,,
"52065",,"52067, 52068, 52069, 52070","52069, 52070",,,,,"52069, 52070",
"52066",,"52064, 52067, 52068, 52069, 52070","52069, 52070",,,,,"52069, 52070",
"52067",,"52065, 52066, 52069, 52070",,,,,,,
"52068",,"52064, 52065, 52066, 52069, 52070",,,,,,,
"52069",,"52065, 52066, 52067, 52068","52065, 52066",,,,,"52065, 52066",
"52070",,"52064, 52065, 52066, 52067, 52068","52065, 52066",,,,,"52065, 52066",
"52101",,"52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52103",,"52101, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52136, 52141",,,,,,,
"52104","52108, 52109",,,,,,,,
"52105","52107, 52108, 52109, 52113, 52114","52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52136, 52145","52107",,,"52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52107"
"52106","52108, 52109",,,,,,,,
"52107","52105, 52108, 52109, 52113, 52114","52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105",,,"52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105"
"52108","52104, 52105, 52106, 52107, 52109, 52113, 52114","52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52109",,,"52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52109"
"52109","52104, 52105, 52106, 52107, 52108, 52113, 52114","52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52108",,,"52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52108"
"52110","52123, 52124",,,,,,,,
"52111","52112, 52123, 52124","52105, 52107, 52108, 52109, 52112, 52113, 52114, 52123, 52124, 52145","52112",,,"52105, 52107, 52108, 52109, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52107, 52108, 52109, 52112, 52113, 52114, 52123, 52124, 52145","52112"
"52112","52111, 52123, 52124","52105, 52107, 52108, 52109, 52111, 52113, 52114, 52123, 52124, 52136, 52145","52111",,,"52105, 52107, 52108, 52109, 52111, 52113, 52114, 52123, 52124, 52145",,"52105, 52107, 52108, 52109, 52111, 52113, 52114, 52123, 52124, 52145","52111"
"52113","52105, 52107, 52108, 52109, 52114","52105, 52107, 52108, 52109, 52111, 52112, 52114, 52123, 52124, 52145","52114",,,"52105, 52107, 52108, 52109, 52111, 52112, 52114, 52123, 52124, 52145",,"52105, 52107, 52108, 52109, 52111, 52112, 52114, 52123, 52124, 52145","52114"
"52114","52105, 52107, 52108, 52109, 52113","52105, 52107, 52108, 52109, 52111, 52112, 52113, 52123, 52124, 52145","52113",,,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52123, 52124, 52145",,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52123, 52124, 52145","52113"
"52116",,"52101, 52103, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52118",,"52101, 52103, 52116, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52120",,"52101, 52103, 52116, 52118, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52122",,"52101, 52103, 52116, 52118, 52120, 52126, 52128, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52123","52110, 52111, 52112, 52124","52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52124, 52136, 52138, 52145","52124",,,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52124, 52145",,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52124, 52145","52124"
"52124","52110, 52111, 52112, 52123","52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52138, 52145","52123",,,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52145",,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52145","52123"
"52126",,"52101, 52103, 52116, 52118, 52120, 52122, 52128, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52128",,"52101, 52103, 52116, 52118, 52120, 52122, 52126, 52130, 52131, 52132, 52134, 52141",,,,,,,
"52130",,"52101, 52103, 52116, 52118, 52120, 52122, 52126, 52128, 52131, 52132, 52134, 52138, 52141",,,,,,,
"52131",,"52101, 52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52132, 52134, 52141",,,,,,,
"52132",,"52101, 52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52134, 52141",,,,,,,
"52134",,"52101, 52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52136, 52138, 52141",,,,,,,
"52136",,"52103, 52105, 52112, 52123, 52134, 52145, 52149, 52151",,,,,,,
"52138",,"52123, 52124, 52130, 52134",,,,,,,
"52141",,"52101, 52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134",,,,,,,
"52143",,"52147",,,,,,,
"52145",,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52136",,,,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124",,"52105, 52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124",
"52147",,"52143",,,,,,,
"52148",,"52149, 52150, 52151, 52152, 52153",,,,,,,
"52149",,"52136, 52148, 52150, 52151, 52152, 52153","52150, 52151",,,,"52150, 52151","52150",
"52150",,"52148, 52149, 52151, 52152, 52153","52149, 52151",,,,"52149, 52151","52149",
"52151",,"52136, 52148, 52149, 52150, 52152, 52153","52149, 52150",,,,"52149, 52150",,
"52152",,"52148, 52149, 52150, 52151, 52153",,,,,"52153","52153",
"52153",,"52148, 52149, 52150, 52151, 52152",,,,,"52152","52152",
