"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"38726",,,,"38727","38727",,"38727",,,"38727",,
"38727",,,,"38726","38726",,"38726",,,"38726",,
"38767",,,,"38768","38768",,,,,"38768",,
"38768",,,,"38767","38767",,,,,"38767",,
"38779",,,,,,,"38786, 38787, 38788",,,,,
"38780",,,,,,,"38786, 38787, 38788",,,,,
"38781",,,,,,,"38786, 38787, 38788",,,,,
"38782",,,,,,,"38786, 38787, 38788",,,,,
"38786",,,,,,,"38779, 38780, 38781, 38782",,,,,
"38787",,,,,,,"38779, 38780, 38781, 38782",,,,,
"38788",,,,,,,"38779, 38780, 38781, 38782",,,,,
"38794",,,,,,,"38798, 38799, 38813, 38831, 38832, 38833, 38834, 38836, 38837, 38838, 38839, 38840",,,,,
"38795",,,,,,,"38798, 38799, 38813, 38831, 38832, 38833, 38834, 38836, 38837, 38838, 38839, 38840",,,,,
"38796",,,,,,,"38798, 38799, 38813, 38831, 38832, 38833, 38834, 38836, 38837, 38838, 38839, 38840",,,,,
"38797",,,,,,,"38798, 38799, 38813, 38831, 38832, 38833, 38834, 38836, 38837, 38838, 38839, 38840",,,,,
"38798",,,,,,,"38813, 38831, 38832, 38833, 38834, 38836, 38837, 38838, 38839, 38840",,,,,
"38799",,,,,,,"38794, 38795, 38796, 38797, 38798, 38813, 38831, 38832, 38833, 38834, 38836, 38837, 38838, 38839, 38840",,,,,
"38810","38811, 38812, 38813",,,,,,,,,,,
"38813","38810, 38811, 38812",,,,,,"38794, 38795, 38796, 38797, 38798, 38799, 38814, 38831, 38832, 38833, 38834, 38835, 38836, 38837, 38838, 38839, 38840",,,,,
"38814",,,,,"38831, 38832",,"38813, 38833, 38834, 38835",,,,,
"38815",,,,,"38831, 38832",,"38833, 38834",,,,,
"38816",,,,"38837, 38838","38831, 38832",,"38830, 38831, 38832",,,"38837, 38838",,
"38820",,,,,,,"38817, 38818, 38819",,,,,
"38823",,,,,,,"38825, 38826, 38827, 38828",,,,,
"38824",,,,,,,"38825, 38826, 38827, 38828",,,,,
"38825",,,,"38832","38832",,,,,,,
"38826",,,,"38832","38832",,"38823, 38824, 38825",,,,,
"38827",,,,,,,"38823, 38824, 38825",,,,,
"38828",,,,,,,"38823, 38824, 38825",,,,,
"38830",,,,,,,"38816, 38841, 38842, 38843, 38844",,,,,
