"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"54000",,"54003, 54004, 54005","54003, 54004, 54005","54003, 54004, 54005",,,,,,,,
"54001",,"54003, 54004, 54005","54003, 54004, 54005","54003, 54004, 54005",,,,,,,,
"54003",,"54000, 54001, 54004, 54005","54000, 54001, 54004, 54005","54000, 54001, 54004, 54005",,,,,,,,
"54004",,"54000, 54001, 54003","54000, 54001, 54003","54000, 54001, 54003",,,,,,,,
"54005",,"54000, 54001, 54003","54000, 54001, 54003","54000, 54001, 54003",,,,,,,,
"54020",,,,"54025, 54027, 54028",,,,,,,,
"54021",,,,"54025, 54027, 54028",,,,,,,,
"54022",,,,"54025, 54027, 54028",,,,,,,,
"54024",,,"54025, 54027, 54028","54025, 54027, 54028",,,,,,,,
"54025",,,"54024, 54027, 54028","54020, 54021, 54022, 54024, 54027, 54028",,,,,,,,
"54026",,,,"54027","54027","54027","54027",,,"54027","54027",
"54027",,,"54024, 54025, 54028","54020, 54021, 54022, 54024, 54025, 54026, 54028","54026","54026","54026",,,"54026","54026",
"54028",,,"54024, 54025, 54027","54020, 54021, 54022, 54024, 54025, 54027",,,,,,,,
"54049",,,,,,,"54050",,,,,
"54050",,,,,,,"54049",,,,,
"54059",,,,,,,"54060",,,,,
"54060",,,,,,,"54059",,,,,
"54062",,,,"54067, 54068, 54069, 54071",,,,,,,,
"54067",,,,"54062, 54071",,,,,,,,
"54068",,,,"54062, 54071",,,,,,,,
"54069",,,,"54062, 54071",,,,,,,,
"54071",,,,"54062, 54067, 54068, 54069",,,,,,,,
"54073",,,,,,,"54076, 54077",,,,,
"54076",,,,,,,"54073",,,,,
"54077",,,,,,,"54073",,,,,
"54087",,,,,,,"54093",,,,,
"54093",,,,,,,"54087",,,,,
"54135",,,,,,,"54157",,,,,
"54136",,,,,,,"54157",,,,,
"54138",,,,,,,"54139",,,,,
"54141",,,,,,,"54151",,,,,
"54146",,,,,,,"54157",,,,,
"54151",,,,,,,"54141",,,,,
"54157",,,,,,,"54135, 54136, 54146",,,,,
"54172",,,"54173","54173",,,,,,,,
"54173",,,"54172","54172",,,,,,,,
"54189",,,"54190","54190","54190",,,,,,,
"54190",,,"54189","54189","54189",,,,,,,
"54223",,,,,,,"54227, 54228",,,,,
"54224",,,,,,,"54227, 54228",,,,,
"54225",,,,,,,"54227, 54228",,,,,
"54226","54231","54231","54230, 54231","54230, 54231, 54232, 54234, 54236, 54237","54230, 54231, 54232","54231, 54232","54235",,"54231, 54232",,,"54231"
"54227",,,,,,,"54223, 54224, 54225, 54234, 54235, 54236",,,,,
"54228",,,,,,,"54223, 54224, 54225, 54236",,,,,
"54230",,,"54226","54226, 54234, 54236, 54237","54226",,,,,,,
"54231","54226","54226","54226","54226, 54234, 54236, 54237","54226","54226",,,"54226",,,"54226"
"54232",,,,"54226","54226","54226",,,"54226",,,
"54234",,,,"54226, 54230, 54231, 54236, 54237, 54240",,,"54227, 54235, 54236, 54237",,,,,
"54235",,,,,,,"54226, 54227, 54236, 54237",,,,,
"54236",,,,"54226, 54230, 54231, 54234, 54237, 54240",,,"54227, 54228, 54234, 54235, 54237",,,,"54235",
"54237",,,,"54226, 54230, 54231, 54234, 54236",,,"54234, 54235, 54236",,,,,
"54240",,,,"54234, 54236",,,,,,,,
"54244",,,,,,,"54257",,,,,
"54245",,,,,,,"54257",,,,,
"54246",,,,,,,"54257",,,,,
