"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42224",,,,"42227, 42231",,,,,,,,
"42227",,,,"42224, 42231",,,,,,,,
"42231",,,,"42224, 42227",,,,,,,,
"42240",,,,"42239",,,,,,,,
"42244",,,,"42250, 42258, 42259, 42260, 42261, 42262",,,,,,,,
"42250",,,,"42244, 42258, 42259, 42260, 42261, 42262",,,,,,,,
"42258",,,,"42244, 42250, 42259, 42260, 42261, 42262",,,,,,,,
"42259",,"42260","42260","42244, 42250, 42258, 42260, 42261, 42262","42260",,,,,,,
"42260",,"42259","42259","42244, 42250, 42258, 42259, 42261, 42262","42259",,"42262",,,,,
"42261",,"42262","42262","42244, 42250, 42258, 42259, 42260, 42262","42262",,,,,,,
"42262",,"42261","42261","42244, 42250, 42258, 42259, 42260, 42261","42261",,"42260",,,,,
"42264",,,,"42294, 42295",,,,,,,,
"42266",,,,,,,"42271, 42273, 42293",,,,,
"42267",,,,,,,"42271, 42273, 42293",,,,,
"42268",,,,,,,"42271, 42273, 42293",,,,,
"42271",,,,,,,"42266, 42267, 42268, 42273, 42290, 42293, 42295",,,,,
"42273",,,,,,,"42266, 42267, 42268, 42271, 42293",,,,,
"42290",,,,,,,"42271",,,,,
"42293",,,,,,,"42266, 42267, 42268, 42271, 42273, 42295",,,,,
"42294",,"42295","42295","42264, 42295","42295",,,,,,,
"42295",,"42294","42294","42264, 42294","42294",,"42271, 42293",,,,,
"42331",,,,"42336, 42337, 42346",,,"42332, 42336, 42337",,,,,
"42332",,,,,,,"42336, 42337",,,,,
"42336",,,,"42331, 42337, 42346",,,"42331, 42332, 42337",,,,,
"42337",,,,"42331, 42336, 42346",,,"42331, 42332, 42336",,,,,
"42346",,,,"42331, 42336, 42337",,,,,,,,
"42349",,,,,,,"42351, 42352, 42353",,,,,
"42351",,,,,,,"42349",,,,,
"42352",,,,,,,"42349",,,,,
"42353",,,,,,,"42349",,,,,
"42358",,"42362","42362, 42376","42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42482, 42484, 42485, 42496, 42498, 42504, 42519, 42520","42362",,,,,,,
"42359",,,"42364, 42388, 42389, 42393, 42457, 42459, 42472, 42479, 42496, 42498, 42504","42358, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520","42479, 42496, 42498, 42504","42472, 42479, 42496, 42498, 42504",,,,,,
"42362",,"42358","42358, 42376","42358, 42359, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520","42358",,,,,,,
"42364",,,"42359, 42388, 42389, 42393, 42457, 42459, 42472, 42479, 42496, 42498, 42504","42358, 42359, 42362, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520","42393",,,,,,,
"42371",,"42374, 42375","42374, 42375","42358, 42359, 42362, 42364, 42374, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,,,,,,,
