change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
42250,2,0.00,1.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00
42251,2,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
42252,3,0.00,0.67,0.33,0.67,0.00,0.00,0.00,0.00,0.00
42253,3,0.00,0.67,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42288,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42289,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42312,1,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
42313,1,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
42318,1,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
42323,1,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
42338,3,0.00,0.00,0.67,0.33,0.33,1.00,0.00,0.00,0.67
42339,7,0.71,0.71,0.57,0.00,0.00,0.86,0.57,0.57,0.57
42340,7,0.71,0.71,0.00,0.00,0.00,0.86,0.57,0.57,0.00
42346,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42355,6,0.33,0.67,0.33,0.67,0.00,0.00,0.33,0.33,0.00
42356,2,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00
42357,6,0.33,0.67,0.33,0.50,0.00,0.00,0.33,0.33,0.00
42358,4,0.50,0.00,0.50,0.75,0.00,0.00,0.50,0.50,0.00
42369,4,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42384,3,0.00,0.00,0.67,0.33,0.33,1.00,0.00,0.00,0.67
42385,7,0.71,0.71,0.57,0.00,0.00,0.86,0.57,0.57,0.57
42386,7,0.71,0.71,0.00,0.00,0.00,0.86,0.57,0.57,0.00
42395,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42396,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42397,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42399,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42425,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42430,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42431,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42435,5,0.00,0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00
