change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
52027,1,0,0,0,0,0,0,0,1,0
52029,3,0,1,0,0,0,0,0,0,0
52030,3,0,1,0,0,0,0,0,0,0
52031,3,0,1,0,0,0,0,0,0,0
52032,3,0,1,0,0,0,0,0,0,0
52033,1,0,1,0,0,0,0,0,0,0
52034,1,0,1,0,0,0,0,0,0,0
52035,1,0,1,0,0,0,0,0,0,0
52036,1,0,1,0,0,0,0,0,0,0
52045,1,0,1,0,0,0,0,0,0,0
52046,1,0,1,0,0,0,0,0,0,0
52056,1,1,0,0,0,0,0,0,0,0
52064,3,0,1,0,0,0,0,0,0,0
52065,4,0,1,0.5,0,0,0,0,0.5,0
52066,5,0,1,0.4,0,0,0,0,0.4,0
52067,4,0,1,0,0,0,0,0,0,0
52068,5,0,1,0,0,0,0,0,0,0
52069,4,0,1,0.5,0,0,0,0,0.5,0
52070,5,0,1,0.4,0,0,0,0,0.4,0
52101,12,0,1,0,0,0,0,0,0,0
52103,13,0,1,0,0,0,0,0,0,0
52104,2,1,0,0,0,0,0,0,0,0
52105,11,0.454545455,1,0.090909091,0,0,0.909090909,0,0.909090909,0.090909091
52106,2,1,0,0,0,0,0,0,0,0
52107,10,0.5,1,0.1,0,0,1,0,1,0.1
52108,12,0.583333333,0.833333333,0.083333333,0,0,0.833333333,0,0.833333333,0.083333333
52109,12,0.583333333,0.833333333,0.083333333,0,0,0.833333333,0,0.833333333,0.083333333
52110,2,1,0,0,0,0,0,0,0,0
52111,10,0.3,1,0.1,0,0,1,0,1,0.1
52112,11,0.272727273,1,0.090909091,0,0,0.909090909,0,0.909090909,0.090909091
52113,10,0.5,1,0.1,0,0,1,0,1,0.1
52114,10,0.5,1,0.1,0,0,1,0,1,0.1
52116,12,0,1,0,0,0,0,0,0,0
52118,12,0,1,0,0,0,0,0,0,0
52120,12,0,1,0,0,0,0,0,0,0
52122,12,0,1,0,0,0,0,0,0,0
52123,13,0.307692308,0.923076923,0.076923077,0,0,0.769230769,0,0.769230769,0.076923077
52124,12,0.333333333,0.916666667,0.083333333,0,0,0.833333333,0,0.833333333,0.083333333
52126,12,0,1,0,0,0,0,0,0,0
52128,12,0,1,0,0,0,0,0,0,0
52130,13,0,1,0,0,0,0,0,0,0
52131,12,0,1,0,0,0,0,0,0,0
52132,12,0,1,0,0,0,0,0,0,0
52134,14,0,1,0,0,0,0,0,0,0
52136,8,0,1,0,0,0,0,0,0,0
52138,4,0,1,0,0,0,0,0,0,0
52141,12,0,1,0,0,0,0,0,0,0
52143,1,0,1,0,0,0,0,0,0,0
52145,11,0,1,0,0,0,0.909090909,0,0.909090909,0
52147,1,0,1,0,0,0,0,0,0,0
52148,5,0,1,0,0,0,0,0,0,0
52149,6,0,1,0.333333333,0,0,0,0.333333333,0.166666667,0
52150,5,0,1,0.4,0,0,0,0.4,0.2,0
52151,6,0,1,0.333333333,0,0,0,0.333333333,0,0
52152,5,0,1,0,0,0,0,0.2,0.2,0
52153,5,0,1,0,0,0,0,0.2,0.2,0
52162,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52163,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52164,27,0.185185185,1,0.222222222,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52165,27,0.185185185,1,0.037037037,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52166,27,0.185185185,1,0.222222222,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52167,27,0.185185185,1,0.037037037,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52168,27,0.111111111,1,0.185185185,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52169,27,0.111111111,1,0.185185185,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52170,27,0.185185185,1,0.222222222,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52171,27,0.185185185,1,0.037037037,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52172,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52173,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52174,27,0.444444444,1,0,0,0,0,0,0.407407407,0
52175,27,0.444444444,1,0,0,0,0,0,0,0
52176,27,0.111111111,1,0.222222222,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52177,27,0.111111111,1,0.037037037,0,0,0.037037037,0.37037037,0.37037037,0.037037037
52178,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52179,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52180,27,0.37037037,1,0,0,0,0,0,0.407407407,0.037037037
52181,27,0.407407407,1,0,0,0,0,0,0.407407407,0.037037037
52182,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52183,27,0.444444444,1,0,0,0,0,0,0.407407407,0.037037037
52184,27,0,1,0,0,0,0,0,0,0
52185,27,0,1,0,0,0,0,0,0,0
52186,27,0.444444444,1,0,0,0,0,0,0.407407407,0
52187,27,0,1,0,0,0,0,0,0.037037037,0
52188,27,0,1,0,0,0,0,0.37037037,0.37037037,0
52189,27,0,1,0,0,0,0,0,0.037037037,0
52194,3,0,0,1,0,0,0,0,0,0
52195,8,0,0.875,0.375,0,0,0,0.875,0,0
52196,9,0,0.777777778,0.222222222,0,0,0,0.777777778,0,0
52197,8,0,0.625,0.25,0,0,0,0.875,0.625,0
52198,9,0,0.777777778,0.222222222,0,0,0,0.777777778,0.555555556,0
52199,5,0.6,1,0,0,0,0,1,0.6,0
52200,9,0.333333333,0.555555556,0.111111111,0,0,0,0.888888889,0.666666667,0
52201,5,0,1,0,0,0,0,1,0.6,0
52202,8,0.375,0.875,0.125,0,0,0,0.875,0.625,0
52203,7,0.428571429,0.714285714,0,0,0,0,1,0.714285714,0
52205,3,0,1,0,0,0,0,0,0,0
52208,1,0,1,0,0,0,0,0,0,0
52219,1,0,1,0,0,0,0,0,0,0
52223,2,0,1,0,0,0,0,0,0,0
52225,2,0,1,0,0,0,0,0,0,0
52226,2,0,1,0,0,0,0,0,0,0
52232,6,0,1,0.5,0,0,0,0.5,0,0
52233,6,0,1,0.5,0,0,0,0.5,0,0
52234,7,0,1,0.428571429,0,0,0,0.428571429,0,0
52235,3,0,1,0,0,0,0,1,0,0
52236,6,0,1,0,0,0,0,0,0,0
52237,6,0,1,0,0,0,0,0,0,0
52240,7,0,1,0.428571429,0,0,0,0.571428571,0,0
52241,7,0,1,0.428571429,0,0,0,0.571428571,0,0
52242,8,0,1,0.375,0,0,0,0.5,0,0
52248,4,0,0,0,1,0,0,0,0,0
52249,44,0,1,0,0,0,0,0,0,0
52250,53,0,1,0,0,0,0,0,0,0
52251,52,0.461538462,0.961538462,0,0,0,0,0,0.576923077,0
52252,64,0.375,0.984375,0,0,0,0,0,0.46875,0.015625
52253,53,0.452830189,0.962264151,0,0,0,0,0,0.566037736,0
52254,67,0.358208955,0.985074627,0,0,0,0,0,0.447761194,0.014925373
52255,42,0.238095238,1,0,0,0,0.30952381,0.476190476,0.476190476,0
52256,62,0.161290323,1,0.096774194,0,0,0.096774194,0.322580645,0.322580645,0.016129032
52257,43,0.23255814,1,0,0,0,0.302325581,0.465116279,0.465116279,0
52258,64,0.15625,1,0.09375,0,0,0.09375,0.3125,0.3125,0.015625
52259,43,0.23255814,1,0,0,0,0.302325581,0.465116279,0.465116279,0
52260,61,0.163934426,1,0.098360656,0,0,0.098360656,0.327868852,0.327868852,0.016393443
52261,40,0.25,1,0,0,0,0.325,0.5,0.5,0
52262,60,0.166666667,1,0.1,0,0,0.1,0.333333333,0.333333333,0.016666667
52263,35,0.171428571,1,0,0,0,0.314285714,0.571428571,0.571428571,0
52264,60,0.1,1,0.1,0,0,0.033333333,0.333333333,0.333333333,0.016666667
52265,33,0.181818182,1,0,0,0,0.333333333,0.606060606,0.606060606,0
52266,56,0.107142857,1,0,0,0,0.035714286,0.357142857,0.357142857,0.017857143
52267,29,0.344827586,1,0,0,0,0.379310345,0.689655172,0.689655172,0
52268,62,0.161290323,1,0.096774194,0,0,0.032258065,0.322580645,0.322580645,0.016129032
52269,30,0.333333333,1,0,0,0,0.366666667,0.666666667,0.666666667,0
52270,60,0.166666667,1,0.016666667,0,0,0.033333333,0.333333333,0.333333333,0.016666667
52271,47,0.510638298,0.957446809,0,0,0,0,0,0.638297872,0
52272,61,0.393442623,0.983606557,0.016393443,0,0,0,0,0.491803279,0.032786885
52273,52,0.461538462,0.961538462,0,0,0,0,0,0.576923077,0
52274,64,0.375,0.984375,0.015625,0,0,0,0,0.46875,0.03125
52275,51,0.470588235,0.960784314,0,0,0,0,0,0.588235294,0.039215686
52276,63,0.380952381,0.984126984,0,0,0,0,0,0.476190476,0.063492063
52277,52,0.461538462,0.961538462,0,0,0,0,0,0.576923077,0.038461538
52278,59,0.406779661,1,0,0,0,0,0,0.508474576,0.033898305
52279,32,0.1875,1,0,0,0,0.34375,0.625,0.625,0
52280,59,0.101694915,1,0,0,0,0.033898305,0.338983051,0.338983051,0.016949153
52281,27,0.222222222,1,0,0,0,0.407407407,0.740740741,0.740740741,0
52282,59,0.101694915,1,0.016949153,0,0,0.033898305,0.338983051,0.338983051,0.016949153
52283,54,0.444444444,0.981481481,0,0,0,0,0,0.555555556,0
52284,62,0.387096774,0.983870968,0.016129032,0,0,0,0,0.483870968,0.016129032
52285,49,0.489795918,0.979591837,0,0,0,0,0,0.612244898,0
52286,63,0.380952381,0.984126984,0.015873016,0,0,0,0,0.476190476,0.015873016
52287,51,0.392156863,0.980392157,0,0,0,0,0,0.588235294,0
52288,63,0.317460317,0.984126984,0.015873016,0,0,0,0,0.476190476,0.015873016
52289,48,0.458333333,0.979166667,0,0,0,0,0,0.625,0
52290,66,0.333333333,0.984848485,0.015151515,0,0,0,0,0.454545455,0.015151515
52291,53,0.452830189,0.981132075,0,0,0,0,0,0.566037736,0
52292,67,0.358208955,0.985074627,0,0,0,0,0,0.447761194,0.014925373
52293,53,0.452830189,0.981132075,0,0,0,0,0,0.566037736,0
52294,63,0.380952381,0.984126984,0,0,0,0,0,0.476190476,0.015873016
52295,36,0,1,0,0,0,0,0,0,0
52296,52,0,0.961538462,0,0,0,0,0,0.576923077,0
52297,60,0,0.983333333,0,0,0,0,0,0.5,0
52298,44,0,1,0,0,0,0,0,0,0
52299,59,0,1,0,0,0,0,0,0,0
52300,46,0.52173913,0.956521739,0,0,0,0,0,0.652173913,0
52301,59,0.406779661,0.983050847,0,0,0,0,0,0.508474576,0
52302,44,0.045454545,1,0,0,0,0,0,0,0
52303,61,0.032786885,1,0.016393443,0,0,0,0,0,0
52304,25,0,1,0,0,0,0.4,0.8,0.8,0
52305,47,0,1,0.127659574,0,0,0,0.425531915,0.425531915,0
52306,45,0.044444444,0.955555556,0,0,0,0,0,0.666666667,0
52307,63,0.047619048,0.984126984,0.015873016,0,0.015873016,0.015873016,0,0.492063492,0.015873016
52308,4,0,0,0,1,0,0,0,0,0
52310,36,0,1,0,0,0,0,0,0,0
52311,4,0,0,0,1,0,0,0,0,0
52312,37,0,1,0,0,0,0,0,0,0
