change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
38726,1,0,1,0,1,0,0,1,0,0
38727,1,0,1,0,1,0,0,1,0,0
38767,1,0,1,0,0,0,0,1,0,0
38768,1,0,1,0,0,0,0,1,0,0
38779,3,0,0,0,1,0,0,0,0,0
38780,3,0,0,0,1,0,0,0,0,0
38781,3,0,0,0,1,0,0,0,0,0
38782,3,0,0,0,1,0,0,0,0,0
38786,4,0,0,0,1,0,0,0,0,0
38787,4,0,0,0,1,0,0,0,0,0
38788,4,0,0,0,1,0,0,0,0,0
38794,12,0,0,0,1,0,0,0,0,0
38795,12,0,0,0,1,0,0,0,0,0
38796,12,0,0,0,1,0,0,0,0,0
38797,12,0,0,0,1,0,0,0,0,0
38798,10,0,0,0,1,0,0,0,0,0
38799,15,0,0,0,1,0,0,0,0,0
38810,3,1,0,0,0,0,0,0,0,0
38813,20,0.15,0,0,0.85,0,0,0,0,0
38814,6,0,0.333333333,0,0.666666667,0,0,0,0,0
38815,4,0,0.5,0,0.5,0,0,0,0,0
38816,5,0,0.8,0,0.6,0,0,0.4,0,0
38820,3,0,0,0,1,0,0,0,0,0
38823,4,0,0,0,1,0,0,0,0,0
38824,4,0,0,0,1,0,0,0,0,0
38825,1,0,1,0,0,0,0,0,0,0
38826,4,0,0.25,0,0.75,0,0,0,0,0
38827,3,0,0,0,1,0,0,0,0,0
38828,3,0,0,0,1,0,0,0,0,0
38830,5,0,0,0,1,0,0,0,0,0
38831,19,0,0.157894737,0,0.894736842,0,0,0,0,0
38832,21,0,0.238095238,0,0.80952381,0,0,0,0,0
38833,16,0,0,0,1,0,0,0,0,0
38834,15,0,0,0,1,0,0,0,0,0
38835,8,0,0,0,1,0,0,0,0,0
38836,15,0,0,0,1,0,0,0,0,0
38837,16,0,0.0625,0,0.9375,0,0,0.0625,0,0
38838,12,0,0.083333333,0,0.916666667,0,0,0.083333333,0,0
38839,15,0,0,0,1,0,0,0,0,0
38840,17,0,0.117647059,0,0.882352941,0,0,0,0,0
38841,8,0,0,0,1,0,0,0,0,0
38842,3,0,0,0,1,0,0,0,0,0
38843,3,0,0,0,1,0,0,0,0,0
38844,9,0,0.666666667,0,0.333333333,0,0,0.666666667,0,0
38845,6,0,1,0,0,0,0,1,0,0
38846,7,0,1,0,0,0,0,0.857142857,0,0
38847,7,0,1,0,0,0,0,0.857142857,0,0
38848,6,0,1,0,0,0,0,1,0,0
38849,6,0,1,0,0,0,0,1,0,0
38850,6,0,1,0,0,0,0,1,0,0
38851,6,0,1,0,0,0,0,1,0,0
38876,5,0,0,0,1,0,0,0,0,0
38877,5,0,0.2,0,1,0,0,0,0,0
38881,5,0,0,0,1,0,0,0,0,0
38882,5,0,0,0,1,0,0,0,0,0
38883,2,0,0.5,0,1,0,0,0,0,0
38884,5,0,0,0,1,0,0,0,0,0
38885,5,0,0,0,1,0,0,0,0,0
38890,5,0,0.4,0,1,0,0,0,0,0
38891,3,0,0.666666667,0,1,0,0,0,0,0
38892,2,0,0,0,1,0,0,0,0,0
38893,4,0,0,0,1,0,0,0,0,0
38894,3,0,0.666666667,0,1,0,0,0,0,0
38895,3,0,0.666666667,0,1,0,0,0,0,0
38951,2,0,0,0,0,0,0,0,0,1
38953,1,1,0,0,0,0,0,0,0,0
38954,2,0.5,0,0,0,0,0,0,0,1
38955,3,0.666666667,0,0,0,0,0,0,0,0.666666667
38987,1,0,1,0,0,0,0,1,0,0
38988,1,0,1,0,0,0,0,1,0,0
38997,2,0,0.5,0,0,0,0,0.5,0.5,0
38998,1,0,1,0,0,0,0,1,0,0
39001,1,0,1,0,0,0,0,1,0,0
39002,1,0,1,0,0,0,0,1,0,0
39005,1,0,1,0,0,0,0,0,0,0
39006,1,0,1,0,0,0,0,0,0,0
39008,2,0,1,0,0,0,0,1,0,0
39009,1,0,0,0,0,0,0,0,1,0
39011,2,0,1,0,0,0,0,0,0,0
39024,1,0,1,0,0,0,0,1,0,0
39025,1,0,1,0,0,0,0,1,0,0
39026,8,0,1,0,0,0,0,0,0,0
39027,1,0,1,0,0,0,0,0,0,0
39028,7,0,1,0,0,0,0,0,0,0
39029,2,1,0,0,0,0,0,0,0,0
39031,2,1,0,0,0,0,0,0,0,0
39033,1,0,1,0,0,0,0,1,0,0
39037,6,0,0.666666667,0,0,0,0,1,0,0
39038,12,0,1,0,0,0,0,0.5,0,0
39039,6,0,0.666666667,0,0,0,0,1,0,0
39040,5,0,1,0,0,0,0,1,0,0
