change_id,num_change,ccfinder,cloneworks_type1,cloneworks_type2blind,cloneworks_type3pattern,cloneworks_type3token,conqat,deckard,duplo,iclones,nicad5,simcad,simian
1,3,0,0,0,0,0,0,1,0,0,0,0,0
11,1,0,0,0,0,0,0,1,0,0,0,0,0
12,1,0,0,0,0,0,0,1,0,0,0,0,0
19,2,0,0,0,0,0,0,1,0,0,0,0,0
21,3,0,0,0,0,0,0,1,0,0,0,0,0
24,3,0,0,0,0,0,0,1,0,0,0,0,0
28,3,0,0,0,0,0,0,1,0,0,0,0,0
31,15,0,0,0,0,0,0,1,0,0,0,0,0
34,3,0,0,0,0,0,0,1,0,0,0,0,0
35,14,0,0,0,0,0,0,1,0,0,0,0,0
38,33,0,0,0,0,0,0,1,0,0,0,0,0
39,10,0,0,0,0,0,0,1,0,0,0,0,0
43,3,0,0,0,0,0,0,1,0,0,0,0,0
44,14,0,0,0,0,0,0,1,0,0,0,0,0
48,2,0,0,0,0,0,0,1,0,0,0,0,0
49,28,0,0,0,0,0,0,1,0,0,0,0,0
50,28,0,0,0,0,0,0,1,0,0,0,0,0
51,30,0.066666667,0.066666667,0.1,1,0.066666667,0.033333333,0,0,0,0,0,0
52,29,0.034482759,0.034482759,0.068965517,1,0.034482759,0.034482759,0,0,0,0,0,0
53,30,0.033333333,0.033333333,0.066666667,1,0.033333333,0,0,0,0,0,0,0
64,4,0,0,0,1,0,0,0,0,0,0,0,0
65,4,0,0,0,1,0,0,0,0,0,0,0,0
66,3,1,0,0,0,0,0,0,0,0,0,0,0
67,5,0.6,0,0.4,0.8,0.4,0,0,0,0,0,0.4,0
68,5,0.6,0,0.4,0.8,0.4,0,0,0,0,0,0.4,0
69,33,0.090909091,0,0,0,0,0,0.909090909,0,0,0,0,0
70,35,0.085714286,0,0.057142857,0.114285714,0.057142857,0,0.857142857,0,0,0,0.057142857,0
71,5,0.6,0,0.4,0.8,0.4,0,0,0,0,0,0.4,0
72,1,0,0,0,0,0,1,0,0,0,0,0,0
73,1,0,0,0,0,0,1,0,0,0,0,0,0
75,5,0,0,0,0,0,0,1,0,0,0,0,0
76,5,0,0,0,0,0,0,1,0,0,0,0,0
78,1,0,0,0,1,1,0,0,0,0,1,1,0
79,30,0,0,0,0.033333333,0.033333333,0,0.966666667,0,0,0.033333333,0.033333333,0
80,11,0,0,0,0,0,0,1,0,0,0,0,0
81,11,0,0,0,0,0,0,1,0,0,0,0,0
82,32,0,0,0.03125,0.9375,0,0,0.09375,0,0,0,0,0
83,30,0,0,0.033333333,1,0,0,0,0,0,0,0,0
86,15,0,0,0,0,0,0,1,0,0,0,0,0
90,32,0,0,0.03125,0.90625,0,0,0.125,0,0,0,0.03125,0
91,32,0,0,0.03125,0.90625,0,0,0.125,0,0,0,0.03125,0
92,30,0,0,0,1,0,0,0,0,0,0,0,0
93,1,1,0,0,0,0,0,0,0,0,0,0,0
94,9,0.111111111,0,0.111111111,0.111111111,0.111111111,0,1,0,0,0,0,0
95,4,0.25,0,0,0,0,0,1,0,0,0,0,0
96,10,0.2,0,0.1,0.1,0.1,0,0.9,0,0,0,0,0
101,9,0,0,0,0,0,0,1,0,0,0,0,0
102,12,0,0,0,0,0,0,1,0,0,0,0,0
104,3,0,0,0,0,0,0,1,0,0,0,0,0
105,18,0,0,0,0,0,1,0,0,0,0,0,0
106,41,0,0,0,0,0,0.43902439,0.780487805,0,0,0,0,0
107,6,0,0,0,0,0,1,0,0,0,0,0,0
108,4,0,0,0,0,0,1,0,0,0,0,0,0
109,12,0,0,0,0,0,1,0,0,0,0,0,0
110,65,0.030769231,0,0,0.461538462,0,0.184615385,0.507692308,0,0,0,0,0
111,8,0.125,0,0,0,0,0,0.875,0,0,0,0,0
112,39,0.051282051,0,0,0,0,0.41025641,0.769230769,0,0,0,0,0
113,45,0.266666667,0,0,0,0,0.377777778,0.555555556,0,0,0,0,0
114,46,0.260869565,0,0,0,0,0.413043478,0.543478261,0,0,0,0,0
115,57,0.210526316,0,0.052631579,0.526315789,0,0.350877193,0,0,0,0,0,0
116,24,0.416666667,0,0,0,0,0.875,0,0,0,0,0,0
117,26,0.384615385,0,0,0,0,0.807692308,0.076923077,0,0,0,0,0
118,70,0.185714286,0,0.042857143,0.428571429,0,0.3,0.457142857,0,0,0,0,0
119,36,0.277777778,0,0,0,0,0,0.833333333,0,0,0,0,0
120,36,0.277777778,0,0,0,0,0,0.833333333,0,0,0,0,0
121,16,0.4375,0,0.125,0.25,0.1875,0,0.625,0,0,0,0.1875,0
122,7,1,0,0,0,0,0,0,0,0,0,0,0
123,59,0.203389831,0,0,0.06779661,0.050847458,0.355932203,0.745762712,0,0,0,0,0
124,51,0.215686275,0,0,0,0,0.333333333,0.764705882,0,0,0,0,0
125,23,0.47826087,0,0,0,0,0.826086957,0,0,0,0,0,0
126,50,0.28,0,0.06,0.6,0,0.38,0,0,0,0,0,0
127,11,1,0,0,0,0,0,0,0,0,0,0,0
128,43,0.209302326,0,0.046511628,0.093023256,0.069767442,0,0.906976744,0,0,0,0.069767442,0
129,39,0.282051282,0,0,0,0,0,0.820512821,0,0,0,0,0
130,28,0.392857143,0,0.071428571,0.142857143,0.107142857,0.607142857,0.357142857,0,0,0,0.107142857,0
131,17,0.352941176,0,0,0,0,1,0,0,0,0,0,0
132,19,0.315789474,0,0,0,0,1,0,0,0,0,0,0
133,73,0.082191781,0,0.04109589,0.410958904,0,0.273972603,0.534246575,0,0,0,0,0
134,49,0,0,0,0,0,0.346938776,0.795918367,0,0,0,0,0
135,20,0,0,0,0,0,1,0,0,0,0,0,0
136,47,0,0,0.063829787,0.723404255,0,0.425531915,0,0,0,0,0.063829787,0
138,46,0.304347826,0,0,0,0,0,0.782608696,0,0,0,0,0
139,46,0.282608696,0,0,0,0,0,0.782608696,0,0,0,0,0
140,11,1,0,0,0,0,0,0,0,0,0,0,0
141,14,1,0,0,0,0,0,0,0,0,0,0,0
142,16,0.875,0,0,0,0,0,0.1875,0,0,0,0,0
143,14,1,0,0,0,0,0,0,0,0,0,0,0
144,13,1,0,0,0,0,0,0,0,0,0,0,0
145,44,0.272727273,0,0,0,0,0,0.818181818,0,0,0,0,0
146,8,1,0,0,0,0,0,0,0,0,0,0,0
147,12,1,0,0,0,0,0,0,0,0,0,0,0
148,15,0.866666667,0,0,0,0,0,0.2,0,0,0,0,0
149,14,1,0,0,0,0,0,0,0,0,0,0,0
150,42,0,0,0,0,0,0,1,0,0,0,0,0
152,4,0,0,0,0,0,1,0,0,0,0,0,0
153,1,0,0,0,0,0,1,0,0,0,0,0,0
155,1,0,1,1,1,1,0,0,0,0,0,0,0
156,59,0,0,0,0.508474576,0,0,0.542372881,0,0,0,0,0
157,31,0,0.032258065,0.032258065,0.032258065,0.032258065,0,0.967741935,0,0,0,0,0
158,30,0,0,0,0,0,0,1,0,0,0,0,0
161,14,0,0,0,0,0,0,1,0,0,0,0,0
170,19,0.105263158,0,0,0.052631579,0.052631579,0,0.842105263,0,0,0.052631579,0,0
171,5,0.4,0,0.2,0.6,0.6,0,0.8,0,0,0.2,0.4,0
172,5,0,0,0,0.6,0.6,0,0.4,0,0,0.2,0.4,0
173,6,0.5,0,0.166666667,0.5,0.5,0,0.666666667,0,0,0.166666667,0.333333333,0
174,31,0,0,0.064516129,1,0.032258065,0,0,0,0,0.032258065,0,0
177,5,0,0,0,1,1,0,0,0,0,1,0,0
179,10,0,0,0,0,0,0,1,0,0,0,0,0
181,10,0,0,0,0,0,0,1,0,0,0,0,0
182,32,0,0,0,0.03125,0,0,0.96875,0,0,0,0,0
183,14,0,0,0,0,0,0,1,0,0,0,0,0
184,41,0.048780488,0,0,0.073170732,0.073170732,0,0.926829268,0,0.048780488,0.073170732,0.073170732,0
185,7,0.285714286,0,0,0.428571429,0.428571429,0.285714286,0.571428571,0,0.285714286,0.428571429,0.428571429,0.142857143
186,33,0,0,0.060606061,1,0.090909091,0.060606061,0,0,0,0.090909091,0.090909091,0
187,3,0.666666667,0,0,1,1,0,0,0,0.666666667,1,1,0
188,3,0.666666667,0,0,1,1,0.666666667,0,0,0.666666667,1,1,0.333333333
189,3,0,0,0,1,1,0.666666667,0,0,0,1,1,0
191,31,0,0,0.096774194,1,0,0,0,0,0,0,0,0
192,31,0,0,0.096774194,1,0,0,0,0,0,0,0,0
193,2,0,0,0,1,0,0,0,0,0,0,0,0
194,30,0,0,0.1,1,0,0,0,0,0,0,0,0
196,3,0,0,0,0,0,0,1,0,0,0,0,0
197,5,0,0,0,0,0,0,1,0,0,0,0,0
198,5,0,0,0,0,0,0,1,0,0,0,0,0
200,5,0,0,0,0,0,0,1,0,0,0,0,0
205,1,0,0,0,1,0,0,0,0,0,0,0,0
206,9,0,0,0,0,0,0,1,0,0,0,0,0
207,12,0,0,0,0,0,0,1,0,0,0,0,0
208,24,0,0,0,0,0,0,1,0,0,0,0,0
209,13,0,0,0,0,0,0,1,0,0,0,0,0
210,13,0,0,0,0,0,0,1,0,0,0,0,0
213,21,0,0,0,0,0,0,1,0,0,0,0,0
216,21,0,0,0,0,0,0,1,0,0,0,0,0
217,30,0,0,0,1,0,0,0,0,0,0,0,0
219,14,0,0,0,0,0,0,1,0,0,0,0,0
221,1,0,0,0,0,0,0,1,0,0,0,0,0
222,30,0,0,0,1,0,0,0.033333333,0,0,0,0,0
224,15,0,0,0,0,0,0,1,0,0,0,0,0
225,30,0,0.033333333,0.033333333,1,0.033333333,0,0.066666667,0,0,0,0,0
226,32,0,0,0,0.125,0,0,0.90625,0,0,0,0.0625,0
227,32,0,0,0,0.125,0,0,0.90625,0,0,0,0.0625,0
230,3,0,0,0,0,0,0,1,0,0,0,0,0
231,4,0,0,0,0,0,0,1,0,0,0,0,0
232,30,0,0.033333333,0.033333333,1,0.033333333,0,0,0,0,0,0,0
233,2,0,0,0,1,0,0,0,0,0,0,1,0
234,8,0,0,0,0.25,0,0,1,0,0,0,0.25,0
236,30,0,0,0,1,0,0,0,0,0,0,0,0
237,22,0,0,0,0,0,0,1,0,0,0,0,0
238,45,0,0,0.088888889,0.666666667,0,0,0.377777778,0,0,0,0.044444444,0
239,4,0,0,0.25,0.25,0.25,0,0.75,0,0,0,0,0
241,30,0,0,0.033333333,1,0,0,0,0,0,0,0,0
242,37,0,0,0.027027027,0.027027027,0.027027027,0,0.972972973,0,0,0,0,0
243,2,0,0,0,0,0,0,1,0,0,0,0,0
244,30,0,0,0.1,1,0,0,0,0,0,0,0,0
246,15,0,0,0,0,0,0,1,0,0,0,0,0
247,30,0,0,0,1,0,0,0.033333333,0,0,0,0,0
248,69,0,0,0,0.434782609,0,0,0.652173913,0,0,0,0,0
249,12,0,0,0,0.25,0,0,0.833333333,0,0,0,0,0
250,15,0,0,0,0,0,0,1,0,0,0,0,0
251,35,0,0,0,0,0,0,1,0,0,0,0,0
252,13,0,0,0,0.230769231,0,0,0.846153846,0,0,0,0,0
253,33,0,0,0,0,0,0,1,0,0,0,0,0
254,59,0,0,0.016949153,0.525423729,0,0,0.559322034,0,0,0,0,0
255,3,0,0,0,1,0,0,0,0,0,0,0,0
256,18,0,0,0,0,0,0,1,0,0,0,0,0
258,21,0,0,0,0,0,0,1,0,0,0,0,0
259,4,0,0,0,0,0,0,1,0,0,0,0,0
261,3,0,0,0,0,0,0,1,0,0,0,0,0
270,1,0,0,0,0,0,0,1,0,0,0,0,0
274,3,0,0,0,0,0,0,1,0,0,0,0,0
279,1,0,0,0,1,0,0,0,0,0,0,0,0
282,3,0,0,0,0,0,0,1,0,0,0,0,0
288,1,0,0,0,1,0,0,0,0,0,0,0,0
293,3,0,0,0,0,0,0,1,0,0,0,0,0
323,5,0,0,0,0,0,0,1,0,0,0,0,0
325,3,0,0,0,0,0,0,1,0,0,0,0,0
326,7,0,0,0.142857143,1,0,0,0,0,0,0,0,0
328,7,0,0,0,1,0,0,0,0,0,0,0,0
329,3,0,0,0,0,0,0,1,0,0,0,0,0
331,11,0.545454545,0,0.909090909,0.909090909,0.909090909,0.454545455,0.090909091,0,0,0.363636364,0.363636364,0
332,12,0.5,0,0.75,0.75,0.75,0.833333333,0.083333333,0,0,0.333333333,0.333333333,0
333,12,0.5,0,0.75,0.75,0.75,0.833333333,0,0,0,0.333333333,0.333333333,0
334,10,0.4,0,0.4,0.4,0.4,1,0,0,0,0.4,0.4,0
335,10,0.4,0,1,1,1,0,0,0,0,0.4,0.4,0
336,12,0.416666667,0,0.75,0.75,0.75,0.916666667,0,0,0,0.333333333,0.333333333,0
337,12,0.416666667,0,0.75,0.75,0.75,0.916666667,0,0,0,0.333333333,0.333333333,0
338,11,0.454545455,0,0.363636364,0.363636364,0.363636364,1,0,0,0,0.363636364,0.363636364,0
339,12,0.416666667,0,0.75,0.75,0.75,0.833333333,0.166666667,0,0,0,0,0
341,11,0,0,0.727272727,0.727272727,0.727272727,0.818181818,0,0,0,0,0,0
342,13,0,0,0.615384615,0.615384615,0.615384615,0.692307692,0,0,0,0,0.230769231,0
343,9,0,0,0,0,0,1,0,0,0,0,0,0
344,4,0,0,0,0,0,1,0,0,0,0,0,0
345,13,0,0,0.692307692,0.692307692,0.692307692,0.846153846,0,0,0,0,0,0
346,10,0,0,0,0,0,1,0,0,0,0,0,0
347,1,0,0,0,0,0,1,0,0,0,0,0,0
348,8,0,0,0,0.875,0,0.125,0,0,0,0,0,0
349,4,0,0,0,0,0,1,0,0,0,0,0,0
352,7,0,0,0.142857143,1,0,0,0,0,0,0,0,0
353,2,0,0,0,0,0,0,1,0,0,0,0,0
354,7,0,0,0,0,0,0,1,0,0,0,0,0
357,2,0,0,0,0,0,0,1,0,0,0,0,0
359,1,0,0,0,0,0,0,1,0,0,0,0,0
360,1,0,0,0,0,0,0,1,0,0,0,0,0
362,5,0,0,0,0,0,0,1,0,0,0,0,0
366,8,0,0,0.125,1,0,0,0,0,0,0,0,0
369,9,0,0.111111111,0.111111111,0.777777778,0.111111111,0,0.222222222,0,0,0,0,0
370,9,0,0.111111111,0.111111111,0.777777778,0.111111111,0,0.222222222,0,0,0,0,0
373,8,0,0,0.125,1,0,0,0,0,0,0,0,0
374,2,0,0,0,0,0,0,1,0,0,0,0,0
375,2,0,0,0,0,0,0,1,0,0,0,0,0
376,2,0,0,0,1,0,0,0,0,0,0,0,0
378,5,0,0,0,0,0,0,1,0,0,0,0,0
381,5,0,0,0,0,0,0,1,0,0,0,0,0
388,5,0,0,0,0,0,0,1,0,0,0,0,0
392,1,0,0,0,0,0,0,1,0,0,0,0,0
394,1,0,0,0,0,0,0,1,0,0,0,0,0
396,4,0,0,0,0,0,0,1,0,0,0,0,0
399,4,0,0,0,0,0,0,1,0,0,0,0,0
401,6,0,0,0,1,0,0,0,0,0,0,0,0
402,4,0,0,0,0,0,0,1,0,0,0,0,0
403,5,0,0,0.4,1,0,0,0,0,0,0,0,0
404,5,0,0,0.4,1,0,0,0,0,0,0,0,0
405,4,0,0,0,0,0,0,1,0,0,0,0,0
412,4,0,0,0,0,0,0,1,0,0,0,0,0
413,5,0,0.2,0.6,1,0.2,0,0,0,0,0,0,0
414,6,0,0,0,1,0,0,0,0,0,0,0,0
415,6,0,0,0,1,0,0,0,0,0,0,0,0
