change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
54000,3,0,1,0,0,0,0,0,0,0
54001,3,0,1,0,0,0,0,0,0,0
54003,4,0,1,0,0,0,0,0,0,0
54004,3,0,1,0,0,0,0,0,0,0
54005,3,0,1,0,0,0,0,0,0,0
54020,1,0,1,0,0,0,0,0,0,0
54021,1,0,1,0,0,0,0,0,0,0
54022,1,0,1,0,0,0,0,0,0,0
54024,3,0,1,0,0,0,0,0,0,0
54025,6,0,1,0,0,0,0,0,0,0
54026,2,0,1,0.5,0.5,0,0,0.5,0.5,0
54027,4,0,1,0.25,0.25,0,0,0.25,0.25,0
54028,4,0,1,0,0,0,0,0,0,0
54049,1,0,0,0,1,0,0,0,0,0
54050,1,0,0,0,1,0,0,0,0,0
54059,1,0,0,0,1,0,0,0,0,0
54060,1,0,0,0,1,0,0,0,0,0
54073,2,0,0,0,1,0,0,0,0,0
54076,1,0,0,0,1,0,0,0,0,0
54077,1,0,0,0,1,0,0,0,0,0
54087,1,0,0,0,1,0,0,0,0,0
54093,1,0,0,0,1,0,0,0,0,0
54135,1,0,0,0,1,0,0,0,0,0
54136,1,0,0,0,1,0,0,0,0,0
54138,1,0,0,0,1,0,0,0,0,0
54141,1,0,0,0,1,0,0,0,0,0
54146,1,0,0,0,1,0,0,0,0,0
54151,1,0,0,0,1,0,0,0,0,0
54157,3,0,0,0,1,0,0,0,0,0
54172,1,0,1,0,0,0,0,0,0,0
54173,1,0,1,0,0,0,0,0,0,0
54189,1,0,1,0,0,0,0,0,0,0
54190,1,0,1,0,0,0,0,0,0,0
54223,2,0,0,0,1,0,0,0,0,0
54224,2,0,0,0,1,0,0,0,0,0
54225,2,0,0,0,1,0,0,0,0,0
54226,5,0.2,0.8,0.4,0.2,0,0.4,0,0,0.2
54227,6,0,0,0,1,0,0,0,0,0
54228,4,0,0,0,1,0,0,0,0,0
54230,2,0,1,0,0,0,0,0,0,0
54231,2,0.5,1,0.5,0,0,0.5,0,0,0.5
54232,1,0,1,1,0,0,1,0,0,0
54234,7,0,0.571428571,0,0.571428571,0,0,0,0,0
54235,4,0,0,0,1,0,0,0,0,0
54236,5,0,0.2,0,1,0,0,0,0.2,0
54237,3,0,0,0,1,0,0,0,0,0
54244,1,0,0,0,1,0,0,0,0,0
54245,1,0,0,0,1,0,0,0,0,0
54246,1,0,0,0,1,0,0,0,0,0
54252,1,0,0,0,1,0,0,0,0,0
54253,1,0,0,0,1,0,0,0,0,0
54256,1,0,1,0,1,0,0,0,0,0
54257,6,0,0.166666667,0,1,0,0,0,0,0
54267,1,1,0,0,0,0,0,0,0,0
54268,1,1,0,0,0,0,0,0,0,0
54280,4,0,1,0,0,0,0,0,0,0
