change_id,num_change,ccfinder,cloneworks_type1,cloneworks_type2blind,cloneworks_type3pattern,cloneworks_type3token,conqat,deckard,duplo,iclones,nicad5,simcad,simian
42224,2,0,0,0,1,0,0,0,0,0,0,0,0
42227,2,0,0,0,1,0,0,0,0,0,0,0,0
42231,2,0,0,0,1,0,0,0,0,0,0,0,0
42240,1,0,0,0,1,0,0,0,0,0,0,0,0
42244,6,0,0,0,1,0,0,0,0,0,0,0,0
42250,6,0,0,0,1,0,0,0,0,0,0,0,0
42258,6,0,0,0,1,0,0,0,0,0,0,0,0
42259,6,0,0.166666667,0.166666667,1,0.166666667,0,0,0,0,0,0,0
42260,6,0,0.166666667,0.166666667,1,0.166666667,0,0.166666667,0,0,0,0,0
42261,6,0,0.166666667,0.166666667,1,0.166666667,0,0,0,0,0,0,0
42262,6,0,0.166666667,0.166666667,1,0.166666667,0,0.166666667,0,0,0,0,0
42264,2,0,0,0,1,0,0,0,0,0,0,0,0
42266,3,0,0,0,0,0,0,1,0,0,0,0,0
42267,3,0,0,0,0,0,0,1,0,0,0,0,0
42268,3,0,0,0,0,0,0,1,0,0,0,0,0
42271,7,0,0,0,0,0,0,1,0,0,0,0,0
42273,5,0,0,0,0,0,0,1,0,0,0,0,0
42290,1,0,0,0,0,0,0,1,0,0,0,0,0
42293,6,0,0,0,0,0,0,1,0,0,0,0,0
42294,2,0,0.5,0.5,1,0.5,0,0,0,0,0,0,0
42295,4,0,0.25,0.25,0.5,0.25,0,0.5,0,0,0,0,0
42331,4,0,0,0,0.75,0,0,0.75,0,0,0,0,0
42332,2,0,0,0,0,0,0,1,0,0,0,0,0
42336,4,0,0,0,0.75,0,0,0.75,0,0,0,0,0
42337,4,0,0,0,0.75,0,0,0.75,0,0,0,0,0
42346,3,0,0,0,1,0,0,0,0,0,0,0,0
42349,3,0,0,0,0,0,0,1,0,0,0,0,0
42351,1,0,0,0,0,0,0,1,0,0,0,0,0
42352,1,0,0,0,0,0,0,1,0,0,0,0,0
42353,1,0,0,0,0,0,0,1,0,0,0,0,0
42358,28,0,0.035714286,0.071428571,1,0.035714286,0,0,0,0,0,0,0
42359,27,0,0,0.407407407,1,0.148148148,0.185185185,0,0,0,0,0,0
42362,27,0,0.037037037,0.074074074,1,0.037037037,0,0,0,0,0,0,0
42364,27,0,0,0.407407407,1,0.037037037,0,0,0,0,0,0,0
42371,28,0,0.071428571,0.071428571,1,0,0,0,0,0,0,0,0
42374,2,0,1,1,1,0,0,0,0,0,0,0,0
42375,28,0,0.071428571,0.071428571,1,0,0,0,0,0,0,0,0
42376,36,0,0,0.055555556,0.75,0,0,0.277777778,0,0,0,0,0
42379,27,0,0,0,1,0,0,0,0,0,0,0,0
42380,2,0,0,0,0,0,0,1,0,0,0,0,0
42382,27,0,0,0,1,0,0,0,0,0,0,0,0
42384,1,0,0,0,1,1,1,1,0,0,1,0,0
42385,1,0,0,0,1,1,1,1,0,0,1,0,0
42388,27,0,0.074074074,0.37037037,1,0.074074074,0,0,0,0,0.037037037,0,0
42389,27,0,0.074074074,0.37037037,1,0.074074074,0,0,0,0,0.037037037,0,0
42393,28,0,0,0.392857143,1,0.035714286,0,0,0,0,0,0,0
42395,27,0,0,0,1,0,0,0,0,0,0,0,0
42398,1,0,0,0,0,0,0,1,0,0,0,0,0
42408,2,0,0,0,0,0,0,1,0,0,0,0,0
42422,1,0,0,0,0,0,0,1,0,0,0,0,0
42430,27,0,0,0.037037037,1,0,0,0,0,0,0,0,0
42431,27,0,0,0.037037037,1,0,0,0,0,0,0,0,0
42446,28,0,0,0.035714286,1,0.035714286,0,0,0,0,0,0,0
42447,7,0,0,0.142857143,0.142857143,0.142857143,0,0.857142857,0,0,0,0,0
42448,1,0,0,0,0,0,0,1,0,0,0,0,0
42449,1,0,0,0,0,0,0,1,0,0,0,0,0
42451,27,0,0,0,1,0,0,0,0,0,0,0,0
42455,4,0,0,0,0,0,0,1,0,0,0,0,0
42457,33,0,0,0.242424242,0.818181818,0,0,0.333333333,0,0,0,0,0
42459,30,0,0,0.366666667,0.9,0,0,0.133333333,0,0,0,0,0
42472,27,0,0,0.37037037,1,0,0.074074074,0,0,0,0,0,0
42479,27,0,0.074074074,0.407407407,1,0.222222222,0.185185185,0,0,0,0,0,0
42482,2,0,0,0,1,0,0,0,0,0,0,0,0
42483,1,0,0,0,0,0,0,1,0,0,0,0,0
42484,27,0,0,0,1,0,0,0,0,0,0,0,0
42485,27,0,0,0,1,0,0,0,0,0,0,0,0
42490,7,0,0,0,0,0,0,1,0,0,0,0,0
42491,8,0,0,0,0,0,0,1,0,0,0,0,0
42492,6,0,0,0,0,0,0,1,0,0,0,0,0
42496,27,0.074074074,0.074074074,0.407407407,1,0.148148148,0.148148148,0.037037037,0,0,0,0,0
42497,8,0,0,0,0,0,0,1,0,0,0,0,0
42498,27,0.074074074,0.074074074,0.407407407,1,0.148148148,0.148148148,0.074074074,0,0.037037037,0,0,0
42499,9,0,0,0,0.222222222,0,0,0.888888889,0,0,0,0,0
42500,1,0,0,0,0,0,0,1,0,0,0,0,0
42501,3,0,0,0,0,0,0,1,0,0,0,0,0
42503,1,0,0,0,0,0,0,1,0,0,0,0,0
42504,27,0.074074074,0.074074074,0.407407407,1,0.148148148,0.148148148,0.074074074,0,0.037037037,0,0,0
42505,5,0,0,0,0.2,0,0,1,0,0,0,0,0
42506,1,0,0,0,1,0,0,0,0,0,0,0,0
42509,1,0,0,0,1,0,0,0,0,0,0,0,0
42515,1,0,0,0,1,0,0,0,0,0,0,0,0
42519,27,0,0,0,0.962962963,0,0,0.037037037,0,0,0,0,0
42520,27,0,0,0,0.962962963,0,0,0.037037037,0,0,0,0,0
42541,1,0,0,0,0,0,0,1,0,0,0,0,0
42542,9,0,0.111111111,0.222222222,0.555555556,0.333333333,0,0.555555556,0,0,0,0,0
42543,3,0,0,0,0,0,0,1,0,0,0,0,0
42544,7,0,0,0.285714286,0.714285714,0.428571429,0,0.428571429,0,0,0,0,0
42548,5,0,0,0,1,0,0,0,0,0,0,0,0
42553,3,0,0,0,0,0,0,1,0,0,0,0,0
42554,6,0,0,0,0.833333333,0,0,0.5,0,0,0,0,0
42555,3,0,0,0,0,0,0,1,0,0,0,0,0
42558,1,0,0,0,0,1,0,0,0,0,0,1,0
42560,1,0,0,0,0,1,0,0,0,0,0,1,0
42561,6,0,0.166666667,0.333333333,0.833333333,0.666666667,0,0,0,0,0,0.166666667,0
42575,5,0,0,0,1,0.6,0,0,0,0,0,0,0
42578,2,0,0,0,0,0,0,1,0,0,0,0,0
42579,2,0,0,0,0,0,0,1,0,0,0,0,0
42596,24,0,0,0,1,0,0,0,0,0,0,0,0
42597,4,0,0,0,0,0,0,1,0,0,0,0,0
42602,1,0,0,0,0,0,0,1,0,0,0,0,0
42603,4,0,0,0,0,0,0,1,0,0,0,0,0
42604,4,0,0,0,0,0,0,1,0,0,0,0,0
42605,3,0,0,0,0,0,0,1,0,0,0,0,0
42606,26,0,0,0,0.923076923,0,0,0.115384615,0,0,0,0,0
42607,26,0,0,0,0.923076923,0,0,0.115384615,0,0,0,0,0
42608,3,0,0,0,0,0,0,1,0,0,0,0,0
42609,25,0,0,0,0.96,0,0,0.12,0,0,0,0,0
42616,25,0,0,0,0.92,0,0,0.08,0,0,0,0,0
42617,26,0,0,0,0.923076923,0,0,0.076923077,0,0,0,0,0
42620,24,0,0,0.041666667,1,0,0,0,0,0,0,0,0
42624,5,0,0,0,0,0,0,1,0,0,0,0,0
42626,2,0,0,0,0,0,0,1,0,0,0,0,0
42630,5,0,0,0,0,0,0,1,0,0,0,0,0
42631,10,0,0,0,0,0,0,1,0,0,0,0,0
42633,7,0,0,0,0,0,0,1,0,0,0,0,0
42639,24,0,0,0,1,0,0,0,0,0,0,0,0
42643,12,0,0,0,0,0,0,1,0,0,0,0,0
42644,12,0,0,0,0,0,0,1,0,0,0,0,0
42652,5,0,0,0,0,0,0,1,0,0,0,0,0
42653,24,0,0,0.041666667,1,0,0,0,0,0,0,0,0
42658,24,0,0.083333333,0.083333333,1,0.083333333,0,0,0,0,0,0,0
42659,22,0,0,0,1,0,0,0,0,0,0,0,0
42660,24,0,0.083333333,0.083333333,1,0.083333333,0,0,0,0,0,0,0
42670,7,0,0,0,0.142857143,0.142857143,0.142857143,1,0,0.142857143,0,0.142857143,0
42671,7,0,0,0,0.142857143,0.142857143,0.142857143,1,0,0.142857143,0,0.142857143,0
42674,7,0,0,0,0,0,0,1,0,0,0,0,0
42681,25,0,0,0,0.92,0,0,0.08,0,0,0,0,0
42682,25,0,0,0,0.92,0,0,0.08,0,0,0,0,0
42687,7,0,0,0,0,0.285714286,0,0.714285714,0,0,0,0,0
42690,12,0,0,0,0,0.166666667,0,0.833333333,0,0,0,0,0
42691,1,0,0,0,0,0,0,1,0,0,0,0,0
42692,24,0,0,0,1,0,0,0,0,0,0,0,0
42702,24,0,0,0,1,0,0,0,0,0,0,0,0
42708,24,0,0,0,1,0,0,0,0,0,0,0,0
42712,23,0,0,0,1,0,0,0,0,0,0,0,0
