change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
7,2,0,0.5,0,0.5,0,0,0,0,0
7,2,0,0.5,0,0.5,0,0,0,0,0
8,2,0,1,0,0,0,0,0,0,0
8,2,0,1,0,0,0,0,0,0,0
9,2,0,1,0,0,0,0,0,0,0
9,2,0,1,0,0,0,0,0,0,0
10,2,0,1,0,0,0,0,0,0,0
10,2,0,1,0,0,0,0,0,0,0
11,1,0,1,0,0,0,0,0,0,0
11,1,0,1,0,0,0,0,0,0,0
12,4,0.75,1,0,0,0,0,0,0,0
12,4,0.75,1,0,0,0,0,0,0,0
13,4,0,1,0,0.25,0,0,0,0,0
13,4,0,1,0,0.25,0,0,0,0,0
14,4,0.5,1,0,0,0,0,0,0,0
14,4,0.5,1,0,0,0,0,0,0,0
15,4,0.5,1,0,0,0,0,0,0,0
15,4,0.5,1,0,0,0,0,0,0,0
16,4,0,1,0,0,0,0,0,0,0
16,4,0,1,0,0,0,0,0,0,0
18,3,1,0,0,0.333333333,0,0.666666667,0,0,0.666666667
18,3,1,0,0.666666667,0.333333333,0,0.666666667,0,0,0.666666667
19,3,1,0.666666667,0,0.666666667,0,0.666666667,0,0,1
19,3,1,0.666666667,1,0.666666667,0,0.666666667,0,0,1
20,3,1,0,0,0.333333333,0,0.666666667,0,0,0.666666667
20,3,1,0,0.666666667,0.333333333,0,0.666666667,0,0,0.666666667
21,3,1,0.666666667,0,0.666666667,0,1,0,0,1
21,3,1,0.666666667,1,0.666666667,0,1,0,0,1
22,4,1,0.5,0,0.5,0,0.25,0,0,0.5
22,4,1,0.5,0.5,0.5,0,0.25,0,0,0.5
29,1,0,1,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0
30,1,0,1,0,0,0,0,0,0,0
30,1,0,1,0,0,0,0,0,0,0
32,2,1,1,0,1,0,1,0,0,0
32,2,1,1,0,1,0,1,0,0,0
33,2,1,1,0,1,0,1,0,0,0
33,2,1,1,0,1,0,1,0,0,0
34,2,1,1,0,1,0,1,0,0,0
34,2,1,1,0,1,0,1,0,0,0
35,2,0,1,0,0,0,0,0,0,0
35,2,0,1,0,0,0,0,0,0,0
36,2,0,1,0,0,0,0,0,0,0
36,2,0,1,0,0,0,0,0,0,0
37,2,0,1,0,0,0,0,0,0,0
37,2,0,1,0,0,0,0,0,0,0
40,3,0,1,0,0,0,0,0,0,0
40,3,0,1,0,0,0,0,0,0,0
41,3,0,1,0,0,0,0,0,0,0
41,3,0,1,0,0,0,0,0,0,0
62,1,0,1,0,0,0,0,0,0,0
62,1,0,1,0,0,0,0,0,0,0
63,1,0,1,0,0,0,0,0,0,0
63,1,0,1,0,0,0,0,0,0,0
74,1,0,0,0,1,0,0,0,0,0
74,1,0,0,0,1,0,0,0,0,0
85,1,0,0,0,1,0,0,0,0,0
85,1,0,0,0,1,0,0,0,0,0
88,21,0,0,0,1,0,0,0,0,0
88,21,0,0,0,1,0,0,0,0,0
89,27,0,0,0,1,0,0,0,0,0
89,27,0,0,0,1,0,0,0,0,0
90,4,0,0,0,1,0,0,0,0,0
90,4,0,0,0,1,0,0,0,0,0
91,19,0,0,0,1,0,0,0,0,0
91,19,0,0,0,1,0,0,0,0,0
92,19,0,0,0,1,0,0,0,0,0
92,19,0,0,0,1,0,0,0,0,0
93,9,0,0.444444444,0,0.555555556,0,0,0,0,0
93,9,0,0.444444444,0,0.555555556,0,0,0,0,0
94,20,0,0.2,0,0.85,0,0,0,0,0
94,20,0,0.2,0.05,0.85,0,0,0,0,0
95,29,0,0,0,1,0,0,0,0,0
95,29,0,0,0.034482759,1,0,0,0,0,0
96,24,0.041666667,0,0,1,0,0,0,0,0
96,24,0.041666667,0,0,1,0,0,0,0,0
97,35,0,0.228571429,0,0.828571429,0,0,0,0,0
97,35,0,0.228571429,0,0.828571429,0,0,0,0,0
98,30,0,0.033333333,0,1,0,0,0,0,0
98,30,0,0.033333333,0,1,0,0,0,0,0
99,15,0.2,0,0,0.933333333,0,0,0,0.066666667,0
99,18,0.166666667,0,0.333333333,0.777777778,0,0,0,0.055555556,0
100,8,0,0,0,1,0,0,0,0,0
100,13,0,0,0.461538462,0.615384615,0,0,0,0,0
101,14,0,0,0,1,0,0,0,0,0
101,14,0,0,0,1,0,0,0,0,0
103,22,0,0,0,1,0,0,0,0,0
103,22,0,0,0,1,0,0,0,0,0
104,9,0,0.444444444,0,0.666666667,0,0,0,0,0
104,9,0,0.444444444,0,0.666666667,0,0,0,0,0
105,16,0.125,0.5,0,0.625,0,0.1875,0,0.375,0
105,16,0.125,0.5,0.125,0.625,0,0.1875,0,0.375,0
106,30,0,0,0,1,0,0,0,0,0
106,30,0,0,0,1,0,0,0,0,0
107,24,0.125,0.083333333,0,0.916666667,0,0.041666667,0,0.041666667,0.041666667
107,27,0.111111111,0.074074074,0.333333333,0.814814815,0,0.037037037,0,0.037037037,0.037037037
108,31,0.096774194,0.064516129,0,0.903225806,0,0.032258065,0,0,0.032258065
108,34,0.088235294,0.058823529,0.205882353,0.823529412,0,0.029411765,0,0,0.029411765
109,3,0,0,0,1,0,0,0,0,0
109,3,0,0,0,1,0,0,0,0,0
110,14,0,0.071428571,0,0.928571429,0,0,0,0,0
110,15,0,0.066666667,0.2,0.866666667,0,0,0,0,0
111,17,0,0.058823529,0,0.941176471,0,0,0,0,0
111,22,0,0.045454545,0.318181818,0.727272727,0,0,0,0,0
112,34,0.088235294,0.382352941,0,0.735294118,0,0.088235294,0,0.176470588,0
112,34,0.088235294,0.382352941,0.088235294,0.735294118,0,0.088235294,0,0.176470588,0
113,28,0,0.25,0,0.75,0,0,0,0,0
113,28,0,0.25,0.035714286,0.75,0,0,0,0,0
114,16,0,0.125,0,0.875,0,0,0,0,0
114,16,0,0.125,0.0625,0.875,0,0,0,0,0
115,18,0,0,0,1,0,0,0,0,0
115,18,0,0,0,1,0,0,0,0,0
116,24,0,0.041666667,0,0.958333333,0,0,0,0,0
116,25,0,0.04,0.2,0.92,0,0,0,0,0
117,26,0,0.461538462,0,0.653846154,0,0,0,0,0
117,26,0,0.461538462,0,0.653846154,0,0,0,0,0
118,3,0,0.666666667,0,0,0,0,0,0,0.333333333
118,6,0,0.333333333,0.833333333,0,0,0,0,0,0.166666667
119,4,0,0.75,0,0,0,0.25,0,0,0
119,4,0,0.75,0,0,0,0.25,0,0,0
120,8,0,1,0,0,0,0.125,0,0.5,0
120,8,0,1,0,0,0,0.125,0,0.5,0
121,8,0,1,0,0,0,0.125,0,0.5,0
121,8,0,1,0,0,0,0.125,0,0.5,0
122,8,0,1,0,0,0,0.125,0,0.5,0
122,8,0,1,0,0,0,0.125,0,0.5,0
129,6,0,1,0,0,0,0,0,0,0
129,6,0,1,0,0,0,0,0,0,0
130,11,0.181818182,0.909090909,0,0,0,0.636363636,0,0.545454545,0
130,11,0.181818182,0.909090909,0.181818182,0,0,0.636363636,0,0.545454545,0
133,2,0,0,0,0,0,0,0,0,1
133,8,0,0,1,0,0,0,0,0,0.25
135,4,0.75,0,0,0,0,0,0,0,0.25
135,5,0.6,0,0.8,0,0,0,0,0,0.2
136,13,0.076923077,1,0,0,0,0.230769231,0,0.461538462,0
136,13,0.076923077,1,0.076923077,0,0,0.230769231,0,0.461538462,0
140,1,0,0,0,1,0,0,0,0,0
140,1,0,0,0,1,0,0,0,0,0
141,1,0,0,0,1,0,0,0,0,0
141,1,0,0,0,1,0,0,0,0,0
143,8,0,0,0,1,0,0,0,0,0
143,8,0,0,0,1,0,0,0,0,0
144,18,0,0,0,1,0,0,0,0,0
144,18,0,0,0,1,0,0,0,0,0
145,5,0,0,0,1,0,0,0,0,0
145,5,0,0,0,1,0,0,0,0,0
146,15,0,0.133333333,0,0.866666667,0,0,0,0,0
